"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853373.87715";"около 10 тысяч";"73";"беззлобный";"813";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"177";"22 / 31";"11040";"21343";"0";"6887";"0";"10616";"8701";"17669"
"1463857228.84582";"около 10 тысяч";"73";"беззлобный";"813";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"177";"22 / 31";"11040";"21343";"0";"6891";"0";"10624";"8706";"17728"
"1463900428.94161";"около 6 тысяч";"73";"беззлобный";"816";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"177";"22 / 31";"11031";"21343";"0";"6796";"0";"10513";"8634";"16933"
"1463943628.18126";"около 10 тысяч";"73";"беззлобный";"816";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"177";"22 / 31";"11028";"21343";"0";"6853";"0";"10589";"8697";"17415"
"1463986828.90158";"около 8 тысяч";"73";"беззлобный";"817";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"177";"22 / 31";"11028";"21343";"0";"6756";"0";"10463";"8601";"16669"
"1464030028.75744";"около 3 тысяч";"73";"беззлобный";"818";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"177";"22 / 31";"11035";"21343";"0";"6807";"0";"10563";"8672";"17202"
"1464073228.95388";"около 4 тысяч";"73";"беззлобный";"819";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"177";"22 / 31";"11025";"21343";"0";"6757";"0";"10455";"8587";"16409"
"1464116428.44276";"около 2 тысяч";"73";"беззлобный";"819";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"178";"22 / 31";"11023";"21343";"0";"6811";"0";"10740";"8642";"16511"
"1464159628.88658";"около 3 тысяч";"73";"беззлобный";"820";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"178";"22 / 31";"11027";"21343";"0";"6732";"0";"10576";"8555";"14841"
"1464202828.08542";"около 5 тысяч";"73";"беззлобный";"820";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"178";"22 / 31";"11025";"21343";"0";"6807";"0";"10698";"8613";"15354"
"1464246028.50007";"около 5 тысяч";"73";"беззлобный";"820";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"178";"22 / 31";"11031";"21343";"0";"6747";"0";"10533";"8535";"15678"
"1464289228.82302";"около 5 тысяч";"73";"беззлобный";"820";"388";"";"5 лет 12 месяцев";"около 191 тысяч";"178";"22 / 31";"11036";"21343";"0";"6828";"0";"10682";"8616";"16193"
