"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853384.1123";"около 5 тысяч";"72";"нейтральный";"833";"384";"";"4 года 4 месяца";"около 177 тысяч";"132";"51 / 49";"11772";"11823";"24724";"8167";"0";"6161";"7520";"0"
"1463857239.26621";"около 5 тысяч";"72";"нейтральный";"833";"384";"";"4 года 4 месяца";"около 177 тысяч";"132";"51 / 49";"11772";"11823";"24724";"8173";"0";"6165";"7523";"0"
"1463900439.16777";"около тысячи";"72";"нейтральный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"132";"51 / 49";"11758";"11823";"24733";"9214";"0";"6096";"7465";"0"
"1463943638.39633";"около тысячи";"72";"нейтральный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"132";"51 / 49";"11763";"11823";"24736";"9312";"0";"6161";"7514";"0"
"1463986839.10865";"около 6 десятков";"72";"беззлобный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11763";"11823";"24740";"9165";"0";"6179";"7457";"17707"
"1464030038.97938";"около 18 сотен";"72";"беззлобный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11766";"11823";"24747";"9251";"0";"6227";"7513";"18288"
"1464073239.18209";"около 18 сотен";"72";"беззлобный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11769";"11823";"24749";"9181";"0";"6172";"7475";"18557"
"1464116438.67248";"около 18 сотен";"72";"нейтральный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11772";"11823";"24754";"9274";"0";"6229";"7517";"0"
"1464159639.14489";"около 18 сотен";"72";"нейтральный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11783";"11823";"24762";"9170";"0";"6160";"7453";"0"
"1464202838.29677";"около 18 сотен";"72";"нейтральный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11790";"11823";"24767";"9263";"0";"6230";"7511";"0"
"1464246038.70987";"около 18 сотен";"72";"нейтральный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11794";"11823";"24768";"9145";"0";"6143";"7455";"0"
"1464289239.0409";"около 18 сотен";"72";"нейтральный";"835";"384";"";"4 года 4 месяца";"около 177 тысяч";"133";"51 / 49";"11796";"11823";"24773";"9260";"0";"6224";"7521";"0"
