"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853414.84832";"около 6 тысяч";"68";"миролюбивый";"811";"368";"4";"2 года 8 месяцев";"около 158 тысяч";"138";"19 / 12";"14744";"24562";"0";"9945";"21684";"9024";"8863";"5602"
"1463857270.47574";"около 6 тысяч";"68";"миролюбивый";"811";"368";"4";"2 года 8 месяцев";"около 158 тысяч";"138";"19 / 12";"14744";"24562";"0";"9952";"21703";"9031";"8869";"5671"
"1463900469.97009";"около 6 тысяч";"68";"миролюбивый";"811";"368";"4";"2 года 8 месяцев";"около 158 тысяч";"138";"19 / 12";"14749";"24562";"0";"9863";"21338";"8965";"8812";"6143"
"1463943672.62449";"около 9 тысяч";"68";"миролюбивый";"813";"368";"5";"2 года 8 месяцев";"около 158 тысяч";"138";"19 / 12";"14742";"24562";"0";"9926";"20926";"9043";"8849";"5664"
"1463986869.9807";"около 9 тысяч";"68";"миролюбивый";"813";"368";"5";"2 года 8 месяцев";"около 158 тысяч";"138";"19 / 12";"14744";"24562";"0";"9803";"20630";"8938";"8778";"6129"
"1464030069.94272";"ни одного";"68";"миролюбивый";"813";"368";"5";"2 года 8 месяцев";"около 158 тысяч";"139";"19 / 12";"14747";"24562";"0";"9902";"20807";"9200";"8851";"5884"
"1464073269.9966";"ни одного";"68";"миролюбивый";"813";"368";"5";"2 года 8 месяцев";"около 158 тысяч";"139";"19 / 12";"14753";"24562";"0";"9820";"20478";"9135";"8802";"6345"
"1464116469.45085";"около 5 тысяч";"69";"миролюбивый";"815";"372";"5";"2 года 8 месяцев";"около 158 тысяч";"139";"19 / 12";"14746";"24562";"0";"9935";"20665";"9226";"8857";"6148"
"1464159669.91768";"около 5 тысяч";"69";"миролюбивый";"815";"372";"5";"2 года 8 месяцев";"около 158 тысяч";"139";"19 / 12";"14752";"24562";"0";"9828";"20305";"9106";"8767";"6600"
"1464202869.05928";"около 2 тысяч";"69";"миролюбивый";"815";"372";"5";"2 года 8 месяцев";"около 159 тысяч";"139";"19 / 12";"14695";"24562";"0";"9945";"20542";"9152";"8823";"5766"
"1464246069.54198";"около 2 тысяч";"69";"миролюбивый";"815";"372";"5";"2 года 8 месяцев";"около 159 тысяч";"139";"19 / 12";"14699";"24562";"0";"9824";"20259";"9021";"8736";"6205"
"1464289269.83158";"около 12 тысяч";"69";"миролюбивый";"816";"372";"5";"2 года 8 месяцев";"около 159 тысяч";"139";"19 / 12";"14689";"24562";"0";"9950";"20438";"9115";"8820";"5880"
