"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853430.176";"около 12 тысяч";"70";"добродушный";"920";"376";"33";"2 года 6 месяцев";"около 150 тысяч";"163";"2 / 2";"13481";"24826";"0";"8027";"2215";"16192";"7760";"10475"
"1463857286.06995";"около 12 тысяч";"70";"добродушный";"920";"376";"33";"2 года 6 месяцев";"около 150 тысяч";"163";"2 / 2";"13482";"24826";"0";"8027";"2216";"16206";"7764";"10578"
"1463900485.27676";"около 15 сотен";"70";"добродушный";"920";"376";"33";"2 года 6 месяцев";"около 150 тысяч";"164";"2 / 2";"13478";"24826";"0";"7956";"2206";"16282";"7714";"10765"
"1463943688.00182";"около 3 тысяч";"70";"добродушный";"921";"376";"33";"2 года 6 месяцев";"около 150 тысяч";"164";"2 / 2";"13470";"24826";"0";"7902";"2214";"16422";"7750";"11352"
"1463986885.30113";"около 13 тысяч";"70";"добродушный";"923";"376";"33";"2 года 6 месяцев";"около 150 тысяч";"164";"2 / 2";"13468";"24826";"0";"7767";"2202";"16249";"7685";"11777"
"1464030085.28717";"около 4 тысяч";"70";"добродушный";"923";"376";"33";"2 года 6 месяцев";"около 150 тысяч";"164";"2 / 2";"13434";"24826";"0";"7863";"2209";"16363";"7737";"12313"
"1464073285.34015";"около тысячи";"70";"добродушный";"923";"376";"33";"2 года 6 месяцев";"около 151 тысяч";"164";"2 / 2";"13434";"24826";"0";"7855";"2196";"16205";"7692";"12227"
"1464116484.81535";"около 5 тысяч";"70";"добродушный";"925";"376";"33";"2 года 6 месяцев";"около 151 тысяч";"164";"2 / 2";"13429";"24826";"0";"7924";"2203";"16368";"7740";"12273"
"1464159685.239";"около 4 тысяч";"70";"добродушный";"933";"376";"33";"2 года 6 месяцев";"около 151 тысяч";"164";"2 / 2";"13387";"24826";"0";"7813";"2185";"16175";"7669";"12420"
"1464202884.40298";"около 4 тысяч";"70";"добродушный";"933";"376";"33";"2 года 6 месяцев";"около 151 тысяч";"164";"2 / 2";"13381";"24826";"0";"7890";"2196";"16294";"7723";"12506"
"1464246084.90398";"около 3 тысяч";"70";"добродушный";"933";"376";"33";"2 года 6 месяцев";"около 151 тысяч";"164";"2 / 2";"13376";"24826";"0";"7788";"2166";"16036";"7654";"12142"
"1464289285.16804";"около 8 тысяч";"70";"добродушный";"934";"376";"33";"2 года 6 месяцев";"около 151 тысяч";"164";"2 / 2";"13369";"24826";"0";"7861";"2173";"16216";"7719";"12159"
