"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853455.74202";"около 3 тысяч";"71";"беззлобный";"810";"380";"";"4 года 1 месяц";"около 178 тысяч";"155";"18 / 28";"12205";"21165";"0";"8981";"0";"8912";"9400";"15259"
"1463857311.66938";"около 3 тысяч";"71";"беззлобный";"810";"380";"";"4 года 1 месяц";"около 178 тысяч";"155";"18 / 28";"12206";"21165";"0";"8987";"0";"8918";"9405";"15317"
"1463900510.8492";"около 3 тысяч";"71";"беззлобный";"810";"380";"";"4 года 1 месяц";"около 178 тысяч";"155";"18 / 28";"12208";"21165";"0";"8914";"0";"8853";"9345";"15640"
"1463943713.56987";"около 5 тысяч";"71";"добродушный";"813";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12182";"21165";"0";"8898";"0";"8905";"9394";"14550"
"1463986910.86297";"около 5 тысяч";"71";"добродушный";"813";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12179";"21165";"0";"8794";"0";"8756";"9299";"13313"
"1464030110.94525";"около 6 тысяч";"71";"добродушный";"814";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12175";"21165";"0";"8864";"0";"8816";"9376";"12405"
"1464073311.00027";"около 6 тысяч";"71";"добродушный";"814";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12178";"21165";"0";"8803";"0";"8771";"9321";"12802"
"1464116510.47073";"около 6 тысяч";"71";"добродушный";"814";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12183";"21165";"0";"8890";"0";"8883";"9391";"13347"
"1464159710.81829";"около 6 тысяч";"71";"добродушный";"814";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12185";"21165";"0";"8798";"0";"8772";"9301";"13702"
"1464202909.98508";"около 6 тысяч";"71";"добродушный";"814";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12194";"21165";"0";"8890";"0";"8862";"9378";"14231"
"1464246110.54415";"около 6 тысяч";"71";"добродушный";"814";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12197";"21165";"0";"8778";"0";"8733";"9283";"14561"
"1464289310.76101";"около 6 тысяч";"71";"добродушный";"814";"380";"";"4 года 1 месяц";"около 179 тысяч";"155";"18 / 28";"12204";"21165";"0";"8882";"0";"8861";"9379";"15089"
