"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853471.07145";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24742";"37203";"0";"13085";"0";"18958";"18583";"0"
"1463857327.26942";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24743";"37203";"0";"13093";"0";"18963";"18600";"0"
"1463900526.17639";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24749";"37203";"0";"12933";"0";"18764";"18403";"0"
"1463943728.91074";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24753";"37203";"0";"13086";"0";"18957";"18606";"0"
"1463986926.20453";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24762";"37203";"0";"12933";"0";"18765";"18414";"0"
"1464030126.29628";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24770";"37203";"0";"13083";"0";"18973";"18626";"0"
"1464073326.33941";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24779";"37203";"0";"12939";"0";"18821";"18423";"0"
"1464116525.82022";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24783";"37203";"0";"13113";"0";"19045";"18665";"0"
"1464159726.16192";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24789";"37203";"0";"12943";"0";"18799";"18430";"0"
"1464202925.32924";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24803";"37203";"0";"13101";"0";"18997";"18654";"0"
"1464246125.88058";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24812";"37203";"0";"0";"0"
"1464289326.07982";"около 2 тысяч";"61";"нейтральный";"4";"340";"";"4 года 12 месяцев";"около 111 тысяч";"128";"34 / 35";"24821";"37203";"0";"0";"0"
