"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853486.41486";"около 4 тысяч";"74";"нейтральный";"801";"392";"11";"6 лет 3 месяца";"около 198 тысяч";"143";"185 / 509";"9814";"9687";"6992";"4874";"13332";"5678";"8511";"0"
"1463857343.12575";"около 4 тысяч";"74";"нейтральный";"801";"392";"11";"6 лет 3 месяца";"около 198 тысяч";"143";"185 / 509";"9814";"9687";"6991";"4876";"13341";"5686";"8515";"0"
"1463900541.50472";"около 7 тысяч";"74";"нейтральный";"805";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"143";"185 / 509";"9787";"9687";"6991";"4873";"12464";"5603";"8440";"0"
"1463943744.27679";"около 7 тысяч";"74";"нейтральный";"805";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"143";"185 / 509";"9791";"9687";"6993";"4918";"12551";"5650";"8505";"0"
"1463986941.58521";"около 2 тысяч";"74";"нейтральный";"806";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"143";"185 / 509";"9786";"9687";"6995";"4827";"12468";"5577";"8417";"0"
"1464030141.63843";"около 2 тысяч";"74";"нейтральный";"806";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"143";"185 / 509";"9794";"9687";"6998";"4857";"12569";"5627";"8488";"0"
"1464073341.66968";"около 4 десятков";"74";"нейтральный";"814";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"144";"185 / 509";"9795";"9687";"6997";"4825";"12449";"5586";"8441";"0"
"1464116541.18804";"около 4 десятков";"74";"нейтральный";"814";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"144";"185 / 509";"9790";"9687";"6996";"4850";"12528";"5721";"8495";"0"
"1464159741.51005";"около 4 десятков";"74";"нейтральный";"814";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"144";"185 / 509";"9791";"9687";"6998";"4811";"12379";"5667";"8414";"0"
"1464202940.70304";"около 4 десятков";"74";"нейтральный";"814";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"144";"185 / 509";"9794";"9687";"7001";"4849";"12493";"5718";"8475";"0"
"1464246141.22852";"около 3 тысяч";"74";"нейтральный";"815";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"144";"185 / 509";"9781";"9687";"7003";"4772";"12370";"5617";"8382";"0"
"1464289341.43848";"около 3 тысяч";"74";"нейтральный";"815";"392";"12";"6 лет 3 месяца";"около 199 тысяч";"144";"185 / 509";"9785";"9687";"7007";"4824";"12444";"5685";"8458";"0"
