"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853522.26149";"около 6 тысяч";"75";"добродушный";"1016";"396";"3";"5 лет 1 месяц";"около 170 тысяч";"155";"20 / 23";"9376";"20262";"0";"7038";"8688";"10125";"7241";"9747"
"1463857379.60152";"около 6 тысяч";"75";"добродушный";"1016";"396";"3";"5 лет 1 месяц";"около 170 тысяч";"155";"20 / 23";"9375";"20262";"0";"7042";"8693";"10132";"7243";"9844"
"1463900577.28443";"около 19 тысяч";"75";"миролюбивый";"1018";"396";"3";"5 лет 1 месяц";"около 170 тысяч";"155";"20 / 23";"9367";"20262";"0";"6947";"8647";"10067";"7188";"9204"
"1463943780.16967";"около 19 тысяч";"75";"добродушный";"1018";"396";"3";"5 лет 1 месяц";"около 170 тысяч";"155";"20 / 23";"9372";"20262";"0";"7005";"8693";"10156";"7232";"9867"
"1463986977.47011";"около 19 тысяч";"75";"добродушный";"1018";"396";"3";"5 лет 1 месяц";"около 170 тысяч";"155";"20 / 23";"9377";"20262";"0";"6933";"8658";"10023";"7185";"10313"
"1464030177.47658";"около 2 тысяч";"75";"добродушный";"1021";"396";"4";"5 лет 1 месяц";"около 170 тысяч";"156";"20 / 23";"9368";"20262";"0";"6899";"8710";"10070";"7227";"10926"
"1464073377.48843";"около 12 тысяч";"75";"добродушный";"1021";"396";"4";"5 лет 1 месяц";"около 170 тысяч";"156";"20 / 23";"9364";"20262";"0";"6848";"8649";"10153";"7187";"11314"
"1464116577.084";"около 12 тысяч";"75";"добродушный";"1023";"396";"4";"5 лет 1 месяц";"около 170 тысяч";"157";"20 / 23";"9362";"20262";"0";"6859";"8693";"10435";"7211";"11148"
"1464159777.31745";"около 19 тысяч";"75";"добродушный";"1024";"396";"4";"5 лет 1 месяц";"около 170 тысяч";"157";"20 / 23";"9357";"20262";"0";"6773";"8602";"10290";"7149";"10010"
"1464202976.63436";"около 19 тысяч";"75";"добродушный";"1024";"396";"4";"5 лет 1 месяц";"около 170 тысяч";"157";"20 / 23";"9364";"20262";"0";"6832";"8667";"10412";"7202";"10576"
"1464246177.04179";"около 19 тысяч";"75";"добродушный";"1024";"396";"4";"5 лет 1 месяц";"около 170 тысяч";"157";"20 / 23";"9370";"20262";"0";"6771";"8583";"10269";"7148";"10934"
"1464289377.32042";"ни одного";"75";"добродушный";"1025";"396";"4";"5 лет 1 месяц";"около 171 тысяч";"158";"20 / 23";"9335";"20262";"0";"6898";"8651";"10550";"7208";"11458"
