"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853563.14807";"около 4 тысяч";"74";"нейтральный";"841";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"144";"308 / 66";"10203";"2252";"553";"6961";"2175";"7455";"6906";"0"
"1463857420.54597";"около 4 тысяч";"74";"нейтральный";"841";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"144";"308 / 66";"10203";"2252";"553";"6964";"2176";"7463";"6911";"0"
"1463900618.34981";"около 4 тысяч";"74";"нейтральный";"841";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"144";"308 / 66";"10208";"2252";"553";"6906";"2165";"7413";"6875";"0"
"1463943821.13794";"около 4 тысяч";"74";"нейтральный";"841";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"144";"308 / 66";"10213";"2252";"553";"6961";"2174";"7488";"6919";"0"
"1463987018.46353";"около 4 тысяч";"74";"нейтральный";"841";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"144";"308 / 66";"10215";"2252";"553";"6904";"2165";"7405";"6881";"0"
"1464030218.47067";"около 6 тысяч";"74";"нейтральный";"844";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"145";"308 / 66";"10209";"2252";"553";"6956";"2175";"7567";"6925";"0"
"1464073418.46415";"около 12 тысяч";"74";"беззлобный";"845";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"145";"308 / 66";"10202";"2252";"553";"6860";"2166";"7490";"6862";"17649"
"1464116618.07884";"около 12 тысяч";"74";"беззлобный";"845";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"145";"308 / 66";"10204";"2252";"553";"6911";"2174";"7586";"6898";"18198"
"1464159818.27065";"около 12 тысяч";"74";"беззлобный";"845";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"145";"308 / 66";"10211";"2252";"553";"6825";"2159";"7494";"6840";"18483"
"1464203017.55903";"около 12 тысяч";"74";"нейтральный";"845";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"145";"308 / 66";"10213";"2252";"553";"6883";"2172";"7576";"6897";"0"
"1464246218.04115";"около 12 тысяч";"74";"нейтральный";"845";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"145";"308 / 66";"10216";"2252";"554";"6826";"2140";"7475";"6849";"0"
"1464289418.27333";"около 12 тысяч";"74";"нейтральный";"845";"392";"33";"5 лет 4 месяца";"около 178 тысяч";"145";"308 / 66";"10219";"2252";"554";"6909";"2148";"7561";"6912";"0"
