"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853578.45395";"около тысячи";"76";"беззлобный";"820";"400";"";"5 лет 4 месяца";"около 212 тысяч";"119";"64 / 67";"8683";"10951";"19809";"5417";"0";"2751";"6889";"15711"
"1463857435.86869";"около тысячи";"76";"беззлобный";"820";"400";"";"5 лет 4 месяца";"около 212 тысяч";"119";"64 / 67";"8685";"10951";"19809";"5419";"0";"2751";"6895";"15772"
"1463900633.65897";"около тысячи";"76";"беззлобный";"820";"400";"";"5 лет 4 месяца";"около 212 тысяч";"119";"64 / 67";"8690";"10951";"19811";"5386";"0";"2747";"6861";"16140"
"1463943836.48951";"около тысячи";"76";"беззлобный";"820";"400";"";"5 лет 4 месяца";"около 212 тысяч";"119";"64 / 67";"8692";"10951";"19815";"5420";"0";"2763";"6907";"16575"
"1463987033.77933";"около тысячи";"76";"беззлобный";"820";"400";"";"5 лет 4 месяца";"около 212 тысяч";"119";"64 / 67";"8696";"10951";"19817";"5376";"0";"2737";"6871";"16936"
"1464030233.81329";"около тысячи";"76";"беззлобный";"820";"400";"";"5 лет 4 месяца";"около 212 тысяч";"119";"64 / 67";"8700";"10951";"19822";"5421";"0";"2757";"6923";"17422"
"1464073434.02048";"около тысячи";"76";"беззлобный";"820";"400";"";"5 лет 4 месяца";"около 212 тысяч";"119";"64 / 67";"8703";"10951";"19829";"5393";"0";"2740";"6895";"17726"
"1464116633.44675";"около 9 тысяч";"76";"беззлобный";"825";"400";"";"5 лет 4 месяца";"около 213 тысяч";"119";"64 / 67";"8676";"10951";"19834";"5427";"0";"2729";"6891";"16059"
"1464159833.62927";"около 10 тысяч";"76";"беззлобный";"826";"400";"";"5 лет 4 месяца";"около 213 тысяч";"119";"64 / 67";"8673";"10951";"19842";"5369";"0";"2718";"6818";"14691"
"1464203032.90157";"около 10 тысяч";"76";"беззлобный";"826";"400";"";"5 лет 4 месяца";"около 213 тысяч";"119";"64 / 67";"8678";"10951";"19845";"5407";"0";"2738";"6872";"15158"
"1464246233.41805";"ни одного";"76";"добродушный";"827";"400";"";"5 лет 4 месяца";"около 213 тысяч";"120";"64 / 67";"8673";"10951";"19847";"5367";"0";"2772";"6815";"14618"
"1464289433.59113";"около 3 тысяч";"76";"добродушный";"827";"400";"";"5 лет 4 месяца";"около 213 тысяч";"120";"64 / 67";"8678";"10951";"19848";"5425";"0";"2793";"6875";"13723"
