"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853737.1482";"ни одного";"72";"миролюбивый";"919";"384";"19";"3 года 1 месяц";"около 181 тысяч";"136";"11 / 14";"11840";"21247";"0";"7337";"7688";"6199";"7555";"8174"
"1463857594.42131";"ни одного";"72";"миролюбивый";"919";"384";"19";"3 года 1 месяц";"около 181 тысяч";"136";"11 / 14";"11840";"21247";"0";"7343";"7693";"6207";"7565";"8327"
"1463900792.02733";"ни одного";"72";"миролюбивый";"919";"384";"19";"3 года 1 месяц";"около 181 тысяч";"136";"11 / 14";"11843";"21247";"0";"7280";"7647";"6164";"7515";"8747"
"1463943995.17925";"ни одного";"72";"миролюбивый";"919";"384";"19";"3 года 1 месяц";"около 181 тысяч";"136";"11 / 14";"11847";"21247";"0";"7339";"7692";"6219";"7570";"9447"
"1463987192.45257";"около 3 тысяч";"72";"миролюбивый";"920";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11819";"21247";"0";"7273";"7657";"6111";"7505";"8227"
"1464030393.66909";"около 6 тысяч";"72";"миролюбивый";"921";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11820";"21247";"0";"7338";"7699";"6146";"7555";"8294"
"1464073592.66685";"около тысячи";"72";"миролюбивый";"921";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11814";"21247";"0";"7272";"7662";"6089";"7513";"8471"
"1464116792.41529";"около 3 тысяч";"72";"миролюбивый";"922";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11813";"21247";"0";"7317";"7704";"6132";"7557";"7718"
"1464159992.24602";"около 5 тысяч";"72";"миролюбивый";"922";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11811";"21247";"0";"8295";"7641";"6042";"7482";"8140"
"1464203191.41608";"около 5 тысяч";"72";"миролюбивый";"923";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11811";"21247";"0";"7471";"7705";"6115";"7544";"7917"
"1464246392.02065";"около 8 тысяч";"72";"миролюбивый";"924";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11805";"21247";"0";"7279";"7637";"6020";"7480";"8336"
"1464289592.07345";"около 7 тысяч";"72";"миролюбивый";"925";"384";"19";"3 года 2 месяца";"около 182 тысяч";"136";"11 / 14";"11802";"21247";"0";"7370";"7681";"6088";"7513";"7153"
