"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853779.17167";"около 5 тысяч";"67";"миролюбивый";"829";"364";"34";"3 года 6 месяцев";"около 146 тысяч";"135";"65 / 21";"16508";"16528";"7146";"10634";"1961";"10424";"8545";"5044"
"1463857635.28636";"около 5 тысяч";"67";"миролюбивый";"829";"364";"34";"3 года 6 месяцев";"около 146 тысяч";"135";"65 / 21";"16509";"16528";"7146";"10654";"1961";"10442";"8559";"5194"
"1463900833.0289";"около 5 тысяч";"67";"миролюбивый";"829";"364";"34";"3 года 6 месяцев";"около 146 тысяч";"135";"65 / 21";"16513";"16528";"7147";"10550";"1955";"10361";"8502";"5653"
"1463944036.08757";"около 8 тысяч";"67";"миролюбивый";"829";"364";"34";"3 года 6 месяцев";"около 146 тысяч";"135";"65 / 21";"16502";"16528";"7147";"10634";"1963";"10418";"8554";"6325"
"1463987233.30208";"ни одного";"67";"миролюбивый";"830";"364";"34";"3 года 6 месяцев";"около 146 тысяч";"136";"65 / 21";"16499";"16528";"7146";"10506";"1956";"10491";"8474";"6794"
"1464030434.59689";"около 2 тысяч";"67";"миролюбивый";"830";"364";"34";"3 года 6 месяцев";"около 147 тысяч";"136";"65 / 21";"16496";"16528";"7149";"10607";"1965";"10565";"8540";"7454"
"1464073633.51372";"около 10 тысяч";"67";"миролюбивый";"831";"364";"34";"3 года 7 месяцев";"около 147 тысяч";"136";"65 / 21";"16489";"16528";"7149";"10484";"1957";"10489";"8483";"8731"
"1464116833.52048";"около 10 тысяч";"67";"миролюбивый";"831";"364";"34";"3 года 7 месяцев";"около 147 тысяч";"136";"65 / 21";"16496";"16528";"7149";"10602";"1964";"10616";"8538";"9385"
"1464160033.15767";"около 8 тысяч";"67";"миролюбивый";"838";"364";"";"3 года 7 месяцев";"около 147 тысяч";"136";"65 / 21";"16472";"16528";"7152";"10484";"0";"10418";"8431";"8404"
"1464203232.29456";"около 8 тысяч";"67";"миролюбивый";"838";"364";"";"3 года 7 месяцев";"около 147 тысяч";"136";"65 / 21";"16478";"16528";"7152";"10593";"0";"10548";"8499";"9058"
"1464246432.90243";"около 6 тысяч";"67";"миролюбивый";"840";"364";"";"3 года 7 месяцев";"около 147 тысяч";"136";"65 / 21";"16441";"16528";"7152";"10456";"0";"10377";"8411";"8320"
"1464289633.00139";"около 6 тысяч";"67";"миролюбивый";"840";"364";"";"3 года 7 месяцев";"около 147 тысяч";"136";"65 / 21";"16449";"16528";"7152";"10586";"0";"10516";"8491";"8896"
