"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853784.28653";"около сотни";"82";"нейтральный";"818";"424";"25";"5 лет 12 месяцев";"около 263 тысяч";"131";"162 / 19";"5495";"1472";"677";"3627";"4939";"1759";"6799";"0"
"1463857640.45706";"около сотни";"82";"нейтральный";"818";"424";"25";"5 лет 12 месяцев";"около 263 тысяч";"131";"162 / 19";"5496";"1472";"677";"3630";"4942";"1760";"6805";"0"
"1463900838.13808";"около сотни";"82";"нейтральный";"818";"424";"25";"5 лет 12 месяцев";"около 263 тысяч";"131";"162 / 19";"5497";"1472";"677";"3607";"4912";"1747";"6767";"0"
"1463944041.20328";"около тысячи";"82";"нейтральный";"821";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5491";"1472";"677";"3584";"4629";"1794";"6784";"0"
"1463987238.40671";"около тысячи";"82";"нейтральный";"821";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5493";"1472";"677";"3558";"4618";"1786";"6748";"0"
"1464030439.72045";"около тысячи";"82";"нейтральный";"821";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5498";"1472";"678";"3586";"4639";"1800";"6800";"0"
"1464073638.6221";"около тысячи";"82";"нейтральный";"821";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5500";"1472";"678";"3571";"4625";"1785";"6769";"0"
"1464116838.64399";"около тысячи";"82";"нейтральный";"821";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5501";"1472";"679";"3594";"4654";"1799";"6806";"0"
"1464160038.25836";"около тысячи";"82";"нейтральный";"821";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5505";"1472";"680";"3570";"4619";"1789";"6744";"0"
"1464203237.40093";"около 4 тысяч";"82";"нейтральный";"824";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5484";"1472";"680";"3565";"4647";"1791";"6776";"0"
"1464246438.00901";"около 4 тысяч";"82";"нейтральный";"824";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5486";"1472";"680";"3546";"4609";"1774";"6733";"0"
"1464289638.10602";"около 4 тысяч";"82";"нейтральный";"824";"424";"26";"5 лет 12 месяцев";"около 264 тысяч";"132";"162 / 19";"5490";"1472";"680";"3582";"4633";"1792";"6793";"0"
