"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853830.51794";"около 4 тысяч";"50";"добродушный";"6";"296";"16";"2 года";"около 62 тысяч";"90";"12 / 12";"37193";"0";"18373";"9460";"29063";"18482";"13092"
"1463857686.50396";"около 4 тысяч";"50";"добродушный";"6";"296";"16";"2 года";"около 62 тысяч";"90";"12 / 12";"37193";"0";"18408";"9467";"29118";"18510";"13259"
"1463900884.21255";"около 7 тысяч";"50";"добродушный";"7";"296";"16";"2 года";"около 62 тысяч";"90";"12 / 12";"37193";"0";"18206";"9402";"28643";"18304";"13574"
"1463944087.34932";"ни одного";"50";"добродушный";"7";"296";"16";"2 года";"около 62 тысяч";"91";"12 / 12";"37193";"0";"18386";"9455";"29443";"18506";"14086"
"1463987284.52048";"около 6 тысяч";"50";"беззлобный";"8";"296";"16";"2 года";"около 62 тысяч";"91";"12 / 12";"37193";"0";"18159";"9406";"28984";"18291";"14423"
"1464030485.89998";"около 5 тысяч";"50";"беззлобный";"10";"296";"16";"2 года";"около 62 тысяч";"91";"12 / 12";"37193";"0";"18296";"9466";"29314";"18491";"14967"
"1464073684.72087";"около 6 тысяч";"50";"беззлобный";"11";"296";"16";"2 года";"около 62 тысяч";"91";"12 / 12";"37193";"0";"18143";"9396";"28897";"18291";"15323"
"1464116884.73711";"около 3 тысяч";"50";"беззлобный";"12";"296";"16";"2 года";"около 62 тысяч";"91";"12 / 12";"37193";"0";"18413";"9449";"29293";"18498";"15844"
"1464160084.41874";"около 2 тысяч";"50";"беззлобный";"12";"296";"";"2 года";"около 62 тысяч";"91";"12 / 12";"37193";"0";"18124";"0";"28828";"18234";"16171"
"1464203283.47768";"около тысячи";"50";"беззлобный";"13";"296";"2 года";"около 63 тысяч";"91";"12 / 12";"37193";"0";"18298";"0";"29160";"18445";"15586"
"1464246484.1249";"около 3 тысяч";"50";"беззлобный";"14";"296";"2 года";"около 63 тысяч";"91";"12 / 12";"37193";"0";"18045";"0";"28678";"18182";"15860"
"1464289684.32015";"около 6 тысяч";"50";"беззлобный";"14";"296";"1";"2 года";"около 63 тысяч";"91";"12 / 12";"37193";"0";"18283";"24241";"29035";"18386";"16401"
