"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853840.73536";"около 3 тысяч";"53";"нейтральный";"3";"308";"";"2 года 6 месяцев";"около 71 тысяч";"84";"0 / 6";"37266";"0";"18107";"0";"19575";"18638";"0"
"1463857696.76743";"около 6 тысяч";"53";"нейтральный";"3";"308";"";"2 года 6 месяцев";"около 71 тысяч";"84";"0 / 6";"37266";"0";"18123";"0";"19592";"18651";"0"
"1463900894.42516";"около 5 тысяч";"53";"нейтральный";"4";"308";"";"2 года 6 месяцев";"около 71 тысяч";"84";"0 / 6";"37267";"0";"17901";"0";"19387";"18430";"0"
"1463944097.59983";"около 6 тысяч";"53";"нейтральный";"5";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"18041";"0";"19464";"18626";"0"
"1463987294.73528";"около 3 тысяч";"53";"нейтральный";"7";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17707";"0";"19293";"18387";"0"
"1464030496.14752";"около 3 тысяч";"53";"беззлобный";"9";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17858";"0";"19386";"18584";"18773"
"1464073694.93176";"около 4 тысяч";"53";"нейтральный";"10";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17575";"0";"19227";"18376";"0"
"1464116895.00994";"около 4 тысяч";"53";"нейтральный";"10";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17709";"0";"19343";"18592";"0"
"1464160094.63256";"около 9 тысяч";"53";"нейтральный";"11";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17405";"0";"19092";"18343";"0"
"1464203293.71848";"около 9 тысяч";"53";"нейтральный";"11";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17643";"0";"19295";"18592";"0"
"1464246494.42586";"около 9 тысяч";"53";"нейтральный";"11";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17396";"0";"19032";"18327";"0"
"1464289694.54941";"около 9 тысяч";"53";"нейтральный";"11";"308";"";"2 года 6 месяцев";"около 72 тысяч";"84";"0 / 6";"37268";"0";"17634";"0";"19249";"18556";"0"
