"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853937.86632";"около 17 сотен";"73";"беззлобный";"995";"388";"22";"3 года";"около 186 тысяч";"150";"9 / 6";"10506";"23125";"0";"7459";"6369";"7396";"6915";"17254"
"1463857793.87073";"около 4 тысяч";"73";"беззлобный";"996";"388";"22";"3 года";"около 186 тысяч";"150";"9 / 6";"10506";"23125";"0";"7463";"6371";"7404";"6920";"17322"
"1463900991.56446";"около 3 сотен";"73";"беззлобный";"996";"388";"22";"3 года";"около 186 тысяч";"150";"9 / 6";"10504";"23125";"0";"7397";"6330";"7352";"6874";"17636"
"1463944194.78995";"около 8 тысяч";"73";"беззлобный";"997";"388";"22";"3 года";"около 186 тысяч";"150";"9 / 6";"10497";"23125";"0";"6621";"6357";"7415";"6910";"15966"
"1463987392.00761";"около 4 тысяч";"73";"беззлобный";"997";"388";"22";"3 года";"около 186 тысяч";"149";"9 / 6";"10482";"23125";"0";"6552";"6338";"7199";"6873";"15398"
"1464030593.54476";"около 6 тысяч";"73";"добродушный";"998";"388";"22";"3 года";"около 186 тысяч";"149";"9 / 6";"10476";"23125";"0";"6487";"6373";"7244";"6923";"13671"
"1464073792.0902";"около 7 тысяч";"73";"добродушный";"999";"388";"22";"3 года";"около 186 тысяч";"149";"9 / 6";"10473";"23125";"0";"6481";"6345";"7171";"6880";"13991"
"1464116992.3553";"около 4 тысяч";"73";"беззлобный";"1000";"388";"22";"3 года";"около 186 тысяч";"149";"9 / 6";"10472";"23125";"0";"6534";"6374";"7237";"6909";"14543"
"1464160191.93272";"около 4 тысяч";"73";"добродушный";"1000";"388";"22";"3 года";"около 187 тысяч";"149";"9 / 6";"10469";"23125";"0";"6450";"6315";"7150";"6846";"13995"
"1464203391.58499";"около 4 тысяч";"73";"добродушный";"1001";"388";"22";"3 года";"около 187 тысяч";"149";"9 / 6";"10452";"23125";"0";"6518";"6359";"7218";"6897";"13125"
"1464246591.59473";"около 4 тысяч";"73";"добродушный";"1001";"388";"1";"3 года";"около 187 тысяч";"149";"9 / 6";"10445";"23125";"0";"6489";"6303";"7105";"6834";"12752"
"1464289791.72495";"около 5 тысяч";"73";"добродушный";"1002";"388";"22";"3 года";"около 187 тысяч";"149";"9 / 6";"10444";"23125";"0";"6575";"6339";"7201";"6898";"13244"
