"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853953.24058";"около 2 тысяч";"80";"нейтральный";"1003";"416";"";"4 года 10 месяцев";"около 242 тысяч";"143";"73 / 51";"6451";"7373";"12424";"4270";"0";"3264";"3566";"0"
"1463857809.20447";"около 2 тысяч";"80";"нейтральный";"1003";"416";"";"4 года 10 месяцев";"около 242 тысяч";"143";"73 / 51";"6451";"7373";"12424";"4271";"0";"3267";"3567";"0"
"1463901006.89006";"около 2 тысяч";"80";"нейтральный";"1003";"416";"";"4 года 10 месяцев";"около 242 тысяч";"143";"73 / 51";"6453";"7373";"12427";"4246";"0";"3251";"3558";"0"
"1463944210.11727";"около 2 тысяч";"80";"нейтральный";"1003";"416";"";"4 года 10 месяцев";"около 242 тысяч";"143";"73 / 51";"6457";"7373";"12430";"4267";"0";"3269";"3569";"0"
"1463987407.34227";"около 9 тысяч";"80";"нейтральный";"1004";"416";"";"4 года 10 месяцев";"около 242 тысяч";"144";"73 / 51";"6454";"7373";"12432";"4242";"0";"3316";"3551";"0"
"1464030608.90602";"около 16 сотен";"80";"нейтральный";"1004";"416";"";"4 года 10 месяцев";"около 242 тысяч";"144";"73 / 51";"6457";"7373";"12434";"4260";"0";"3339";"3568";"0"
"1464073807.4461";"около тысячи";"80";"нейтральный";"1005";"416";"";"4 года 10 месяцев";"около 242 тысяч";"144";"73 / 51";"6457";"7373";"12438";"4234";"0";"3314";"3553";"0"
"1464117007.70165";"около 8 тысяч";"80";"нейтральный";"1006";"416";"";"4 года 10 месяцев";"около 242 тысяч";"144";"73 / 51";"6453";"7373";"12443";"4264";"0";"3330";"3571";"0"
"1464160207.26597";"около 10 тысяч";"80";"нейтральный";"1006";"416";"";"4 года 10 месяцев";"около 242 тысяч";"144";"73 / 51";"6456";"7373";"12448";"4238";"0";"3307";"3559";"0"
"1464203406.92792";"около 6 тысяч";"80";"нейтральный";"1006";"416";"";"4 года 10 месяцев";"около 243 тысяч";"144";"73 / 51";"6437";"7373";"12453";"4244";"0";"3326";"3579";"0"
"1464246606.91425";"около 6 тысяч";"80";"нейтральный";"1006";"416";"";"4 года 10 месяцев";"около 243 тысяч";"144";"73 / 51";"6439";"7373";"12455";"4221";"0";"3293";"3561";"0"
"1464289807.07909";"ни одного";"80";"нейтральный";"1006";"416";"";"4 года 10 месяцев";"около 243 тысяч";"145";"73 / 51";"6444";"7373";"12463";"4261";"0";"3384";"3583";"0"
