"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853976.34367";"около 3 тысяч";"65";"нейтральный";"821";"356";"12";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18663";"25373";"0";"10253";"12366";"18282";"8686";"0"
"1463857829.65117";"около 3 тысяч";"65";"нейтральный";"821";"356";"12";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18664";"25373";"0";"10262";"12375";"18299";"8693";"0"
"1463901027.33482";"около 3 тысяч";"65";"нейтральный";"821";"356";"12";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18672";"25373";"0";"10171";"12256";"18104";"8638";"0"
"1463944230.60191";"около тысячи";"65";"нейтральный";"822";"356";"13";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18657";"25373";"0";"10215";"11642";"18255";"8689";"0"
"1463987427.82915";"около 8 тысяч";"65";"нейтральный";"823";"356";"13";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18651";"25373";"0";"10088";"11594";"18015";"8620";"0"
"1464030629.3749";"около 7 тысяч";"65";"нейтральный";"823";"356";"13";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18658";"25373";"0";"10190";"11673";"18195";"8687";"0"
"1464073827.93549";"около 5 тысяч";"65";"нейтральный";"824";"356";"13";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18646";"25373";"0";"10087";"11564";"18001";"8627";"0"
"1464117028.15973";"около 5 тысяч";"65";"нейтральный";"824";"356";"13";"6 лет 10 месяцев";"около 123 тысяч";"140";"34 / 31";"18654";"25373";"0";"10194";"11632";"18222";"8687";"0"
"1464160227.72294";"около 5 тысяч";"65";"нейтральный";"827";"356";"13";"6 лет 10 месяцев";"около 124 тысяч";"140";"34 / 31";"18621";"25373";"0";"10007";"11497";"17911";"8597";"0"
"1464203427.39266";"около тысячи";"65";"нейтральный";"827";"356";"13";"6 лет 10 месяцев";"около 124 тысяч";"141";"34 / 31";"18622";"25373";"0";"10091";"11611";"18410";"8667";"0"
"1464246627.41233";"около 4 тысяч";"65";"нейтральный";"828";"356";"13";"6 лет 10 месяцев";"около 124 тысяч";"141";"34 / 31";"18617";"25373";"0";"9956";"11495";"18146";"8575";"0"
"1464289827.52871";"около 5 тысяч";"65";"нейтральный";"828";"356";"13";"6 лет 10 месяцев";"около 124 тысяч";"141";"34 / 31";"18614";"25373";"0";"10069";"11550";"18322";"8653";"0"
