"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853991.73606";"около 6 тысяч";"86";"беззлобный";"822";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3927";"1781";"24686";"1707";"0";"3526";"6477";"17765"
"1463857845.15852";"около 6 тысяч";"86";"беззлобный";"822";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3927";"1781";"24688";"1707";"0";"3530";"6481";"17836"
"1463901044.76214";"около 6 тысяч";"86";"беззлобный";"822";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3929";"1781";"24695";"1704";"0";"3508";"6446";"18160"
"1463944245.94884";"около 6 тысяч";"86";"беззлобный";"822";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3930";"1781";"24698";"1713";"0";"3529";"6488";"18660"
"1463987443.1573";"около 6 тысяч";"86";"нейтральный";"822";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3933";"1781";"24702";"1708";"0";"3501";"6450";"0"
"1464030644.74289";"около 7 тысяч";"86";"беззлобный";"824";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3929";"1781";"24708";"1703";"0";"3513";"6474";"17273"
"1464073843.38284";"около 7 тысяч";"86";"беззлобный";"824";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3931";"1781";"24711";"1693";"0";"3483";"6446";"17539"
"1464117043.53715";"около 7 тысяч";"86";"беззлобный";"824";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3932";"1781";"24716";"1697";"0";"3511";"6484";"18113"
"1464160243.06104";"около 7 тысяч";"86";"беззлобный";"824";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"197";"72 / 173";"3933";"1781";"24724";"1695";"0";"3485";"6431";"18367"
"1464203442.74668";"ни одного";"86";"беззлобный";"831";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"198";"72 / 173";"3919";"1781";"24728";"1706";"0";"3565";"6471";"18891"
"1464246642.85335";"ни одного";"86";"беззлобный";"831";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"198";"72 / 173";"3922";"1781";"24728";"1697";"0";"3516";"6431";"19174"
"1464289842.91641";"ни одного";"86";"нейтральный";"831";"440";"";"6 лет 12 месяцев";"около 326 тысяч";"198";"72 / 173";"3925";"1781";"24734";"1706";"0";"3548";"6488";"0"
