"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854001.97089";"около 5 сотен";"69";"нейтральный";"1004";"372";"2";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14240";"26282";"9307";"6943";"903";"19633";"7181";"0"
"1463857855.38801";"около 5 сотен";"69";"нейтральный";"1004";"372";"2";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14240";"26282";"9308";"6946";"903";"19653";"7186";"0"
"1463901055.06517";"около 10 тысяч";"69";"нейтральный";"1005";"372";"2";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14228";"26282";"9311";"6886";"900";"19398";"7142";"0"
"1463944256.17303";"около 11 тысяч";"69";"нейтральный";"1006";"372";"2";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14226";"26282";"9318";"6957";"905";"19532";"7181";"0"
"1463987453.36964";"около 10 тысяч";"69";"нейтральный";"1006";"372";"2";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14227";"26282";"9320";"6900";"903";"19350";"7129";"0"
"1464030654.96481";"около 8 тысяч";"69";"нейтральный";"1007";"372";"3";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14185";"26282";"9319";"6952";"905";"19510";"7174";"0"
"1464073853.59706";"около 8 тысяч";"69";"нейтральный";"1007";"372";"3";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14186";"26282";"9324";"6906";"902";"19334";"7132";"0"
"1464117053.77476";"около 5 тысяч";"69";"нейтральный";"1008";"372";"3";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14175";"26282";"9334";"6951";"904";"19516";"7162";"0"
"1464160253.28618";"около 6 тысяч";"69";"нейтральный";"1009";"372";"3";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14158";"26282";"9335";"6865";"896";"19197";"7095";"0"
"1464203452.96755";"около 6 тысяч";"69";"нейтральный";"1009";"372";"3";"2 года 11 месяцев";"около 128 тысяч";"150";"127 / 192";"14164";"26282";"9338";"6931";"898";"19407";"7152";"0"
"1464246653.0683";"около сотни";"69";"нейтральный";"1010";"372";"4";"2 года 11 месяцев";"около 129 тысяч";"151";"127 / 192";"14120";"26282";"9340";"6853";"878";"19407";"7099";"0"
"1464289853.18841";"около 11 тысяч";"69";"нейтральный";"1012";"372";"4";"2 года 11 месяцев";"около 129 тысяч";"151";"127 / 192";"14123";"26282";"9342";"6957";"881";"19589";"7158";"0"
