"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854073.81816";"около 7 тысяч";"53";"нейтральный";"20";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16566";"0";"36233";"18119";"0"
"1463857927.54299";"около 7 тысяч";"53";"нейтральный";"20";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16579";"0";"36282";"18132";"0"
"1463901126.65179";"около 7 тысяч";"53";"нейтральный";"20";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16373";"0";"35697";"17935";"0"
"1463944327.80618";"около 7 тысяч";"53";"нейтральный";"22";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16548";"0";"36207";"18117";"0"
"1463987525.14193";"около 16 сотен";"53";"нейтральный";"22";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16308";"0";"35590";"17901";"0"
"1464030726.73988";"около 19 сотен";"53";"недовольный";"22";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16463";"0";"36146";"18100";"5769"
"1464073925.2254";"около 2 тысяч";"53";"недовольный";"23";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16306";"0";"35493";"17897";"5840"
"1464117125.42091";"около 15 тысяч";"53";"недовольный";"24";"308";"";"2 года 11 месяцев";"около 73 тысяч";"129";"0 / 6";"36976";"0";"16434";"0";"36049";"18133";"5976"
"1464160324.91654";"около 17 тысяч";"53";"недовольный";"26";"308";"";"2 года 11 месяцев";"около 74 тысяч";"129";"0 / 6";"36976";"0";"16086";"0";"35395";"17882";"5965"
"1464203524.578";"около 8 сотен";"53";"озлобленный";"28";"308";"";"2 года 11 месяцев";"около 74 тысяч";"129";"0 / 6";"36976";"0";"16271";"0";"36004";"18000";"5097"
"1464246724.65653";"около 12 тысяч";"53";"недовольный";"28";"308";"";"2 года 11 месяцев";"около 74 тысяч";"129";"0 / 6";"36976";"0";"15945";"0";"35309";"17730";"5408"
"1464289924.86115";"около 6 тысяч";"54";"недовольный";"29";"312";"";"2 года 11 месяцев";"около 74 тысяч";"129";"0 / 6";"36976";"0";"16138";"0";"35795";"17948";"5544"
