"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854109.65816";"около 5 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6735";"7856";"20288";"3956";"0";"6136";"6459";"0"
"1463857963.34772";"около 5 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6735";"7856";"20289";"3959";"0";"6140";"6463";"0"
"1463901162.39808";"около 5 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6737";"7856";"20290";"3935";"0";"6094";"6430";"0"
"1463944363.67707";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6731";"7856";"20294";"3956";"0";"6146";"6468";"0"
"1463987560.91529";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6734";"7856";"20298";"3923";"0";"6073";"6428";"0"
"1464030762.70126";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6739";"7856";"20305";"3949";"0";"6114";"6473";"0"
"1464073960.9902";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6744";"7856";"20308";"3931";"0";"6057";"6445";"0"
"1464117161.19643";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6744";"7856";"20309";"3956";"0";"6113";"6483";"0"
"1464160360.65776";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6747";"7856";"20316";"3931";"0";"6034";"6430";"0"
"1464203560.53239";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6754";"7856";"20321";"3956";"0";"6099";"6477";"0"
"1464246760.42866";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6756";"7856";"20326";"3935";"0";"6012";"6440";"0"
"1464289960.64689";"около 7 тысяч";"79";"нейтральный";"830";"412";"";"5 лет 11 месяцев";"около 233 тысяч";"174";"67 / 81";"6759";"7856";"20335";"3970";"0";"6091";"6499";"0"
