"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854119.91224";"около 5 тысяч";"70";"нейтральный";"808";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12951";"25163";"0";"7551";"0";"16151";"8616";"0"
"1463857973.78557";"около 2 тысяч";"70";"нейтральный";"808";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12951";"25163";"0";"7556";"0";"16168";"8624";"0"
"1463901172.63535";"около 7 тысяч";"70";"нейтральный";"809";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12933";"25163";"0";"7533";"0";"15967";"8561";"0"
"1463944373.91862";"около 6 тысяч";"70";"нейтральный";"809";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12936";"25163";"0";"7590";"0";"16143";"8623";"0"
"1463987571.13399";"около 6 тысяч";"70";"нейтральный";"809";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12938";"25163";"0";"7517";"0";"15969";"8548";"0"
"1464030773.00483";"около 6 тысяч";"70";"нейтральный";"811";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12921";"25163";"0";"7515";"0";"16069";"8596";"0"
"1464073971.21144";"около 6 тысяч";"70";"нейтральный";"811";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12923";"25163";"0";"7468";"0";"15946";"8546";"0"
"1464117171.41731";"около 6 тысяч";"70";"нейтральный";"811";"376";"";"4 года 3 месяца";"около 166 тысяч";"180";"6 / 13";"12929";"25163";"0";"7526";"0";"16145";"8605";"0"
"1464160370.86489";"около 2 тысяч";"70";"нейтральный";"813";"376";"";"4 года 3 месяца";"около 167 тысяч";"180";"6 / 13";"12915";"25163";"0";"7476";"0";"15837";"8483";"0"
"1464203570.7484";"около 4 тысяч";"70";"нейтральный";"813";"376";"";"4 года 3 месяца";"около 167 тысяч";"180";"6 / 13";"12921";"25163";"0";"7564";"0";"16027";"8550";"0"
"1464246770.63786";"около 4 тысяч";"70";"нейтральный";"813";"376";"";"4 года 3 месяца";"около 167 тысяч";"180";"6 / 13";"12925";"25163";"0";"7472";"0";"15823";"8470";"0"
"1464289970.86832";"около 6 тысяч";"70";"нейтральный";"814";"376";"";"4 года 3 месяца";"около 167 тысяч";"180";"6 / 13";"12915";"25163";"0";"7592";"0";"15960";"8541";"0"
