"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854150.5728";"около 11 тысяч";"70";"нейтральный";"800";"376";"16";"3 года 3 месяца";"около 154 тысяч";"161";"9 / 25";"13522";"22829";"0";"10293";"9218";"14703";"9599";"0"
"1463858004.51438";"около 11 тысяч";"70";"нейтральный";"800";"376";"16";"3 года 3 месяца";"около 154 тысяч";"161";"9 / 25";"13522";"22829";"0";"10303";"9223";"14723";"9606";"0"
"1463901203.26308";"около 20 тысяч";"70";"нейтральный";"802";"376";"16";"3 года 3 месяца";"около 154 тысяч";"161";"9 / 25";"13504";"22829";"0";"10136";"9167";"14515";"9530";"0"
"1463944404.63107";"около 20 тысяч";"70";"нейтральный";"802";"376";"16";"3 года 3 месяца";"около 154 тысяч";"161";"9 / 25";"13507";"22829";"0";"10255";"9224";"14663";"9613";"0"
"1463987601.85055";"около 20 тысяч";"70";"нейтральный";"802";"376";"16";"3 года 3 месяца";"около 154 тысяч";"161";"9 / 25";"13512";"22829";"0";"10126";"9178";"14504";"9529";"0"
"1464030803.71099";"около 13 тысяч";"70";"нейтральный";"804";"376";"16";"3 года 3 месяца";"около 154 тысяч";"161";"9 / 25";"13466";"22829";"0";"10185";"9233";"14602";"9610";"0"
"1464074001.90818";"около 13 тысяч";"70";"нейтральный";"804";"376";"16";"3 года 3 месяца";"около 154 тысяч";"161";"9 / 25";"13470";"22829";"0";"10101";"9169";"14485";"9551";"0"
"1464117202.10005";"около тысячи";"70";"нейтральный";"804";"376";"16";"3 года 3 месяца";"около 154 тысяч";"162";"9 / 25";"13472";"22829";"0";"10208";"9220";"14855";"9615";"0"
"1464160401.50843";"около тысячи";"70";"нейтральный";"804";"376";"16";"3 года 3 месяца";"около 154 тысяч";"162";"9 / 25";"13478";"22829";"0";"10082";"9127";"14685";"9510";"0"
"1464203601.43929";"около 12 тысяч";"70";"нейтральный";"806";"376";"16";"3 года 3 месяца";"около 154 тысяч";"162";"9 / 25";"13464";"22829";"0";"10156";"9196";"14841";"9600";"0"
"1464246801.28771";"около 12 тысяч";"70";"нейтральный";"806";"376";"16";"3 года 3 месяца";"около 154 тысяч";"162";"9 / 25";"13470";"22829";"0";"10020";"9104";"14628";"9490";"0"
"1464290001.55768";"около 3 тысяч";"70";"нейтральный";"807";"376";"16";"3 года 3 месяца";"около 155 тысяч";"162";"9 / 25";"13425";"22829";"0";"10172";"9170";"14739";"9581";"0"
