"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854232.36959";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7280";"7919";"2398";"6248";"0";"2119";"4964";"4838"
"1463858087.78264";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7280";"7919";"2398";"6252";"0";"2122";"4965";"4928"
"1463901285.06695";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7282";"7919";"2398";"6194";"0";"2112";"4939";"5404"
"1463944486.55275";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7286";"7919";"2399";"6246";"0";"2121";"4970";"6069"
"1463987683.71464";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7288";"7919";"2400";"6199";"0";"2107";"4952";"6521"
"1464030885.61465";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7293";"7919";"2400";"6240";"0";"2116";"4980";"7199"
"1464074083.65419";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7295";"7919";"2399";"6208";"0";"2103";"4955";"7623"
"1464117284.05794";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7300";"7919";"2401";"6257";"0";"2117";"4983";"8324"
"1464160483.33353";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7304";"7919";"2402";"6182";"0";"2104";"4959";"8721"
"1464203683.24973";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7310";"7919";"2402";"6245";"0";"2121";"4991";"9366"
"1464246883.05493";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7313";"7919";"2403";"0";"0"
"1464290083.43098";"около 5 сотен";"78";"миролюбивый";"914";"408";"";"4 года 12 месяцев";"около 228 тысяч";"119";"300 / 419";"7317";"7919";"2403";"0";"0"
