"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854350.02805";"около 17 сотен";"71";"миролюбивый";"806";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12471";"24831";"0";"8097";"0";"14329";"8812";"6810"
"1463858206.58046";"около 7 тысяч";"71";"миролюбивый";"807";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12458";"24831";"0";"8131";"0";"14344";"8812";"4887"
"1463901402.65675";"около 14 тысяч";"71";"миролюбивый";"808";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12453";"24831";"0";"8060";"0";"14155";"8756";"5362"
"1463944604.13277";"около 14 тысяч";"71";"миролюбивый";"808";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12454";"24831";"0";"8173";"0";"14319";"8820";"6032"
"1463987801.3354";"около 4 тысяч";"71";"миролюбивый";"810";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12447";"24831";"0";"8050";"0";"14114";"8732";"5892"
"1464031004.2952";"около 4 тысяч";"71";"миролюбивый";"810";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12444";"24831";"0";"8124";"0";"14241";"8794";"5384"
"1464074201.30658";"около 4 тысяч";"71";"миролюбивый";"810";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12437";"24831";"0";"8072";"0";"14092";"8725";"5838"
"1464117401.75301";"около 3 тысяч";"71";"миролюбивый";"811";"380";"";"2 года 10 месяцев";"около 167 тысяч";"173";"6 / 7";"12434";"24831";"0";"8104";"0";"14265";"8784";"6528"
"1464160600.99351";"около 5 тысяч";"71";"миролюбивый";"812";"380";"";"2 года 10 месяцев";"около 168 тысяч";"173";"6 / 7";"12431";"24831";"0";"7991";"0";"14038";"8688";"6969"
"1464203801.00804";"около 7 тысяч";"71";"миролюбивый";"814";"380";"";"2 года 10 месяцев";"около 168 тысяч";"173";"6 / 7";"12431";"24831";"0";"8055";"0";"14203";"8755";"7598"
"1464247000.70557";"около 4 тысяч";"71";"миролюбивый";"815";"380";"";"2 года 10 месяцев";"около 168 тысяч";"173";"6 / 7";"12418";"24831";"0";"7929";"0";"13960";"8669";"8008"
"1464290201.10689";"около 5 тысяч";"71";"миролюбивый";"815";"380";"";"2 года 10 месяцев";"около 168 тысяч";"173";"6 / 7";"12421";"24831";"0";"8027";"0";"14071";"8744";"7435"
