"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854268.14972";"около 5 тысяч";"49";"агрессивный";"7";"292";"7";"1 год 8 месяцев";"около 57 тысяч";"90";"7 / 4";"37109";"0";"19780";"18797";"32196";"18332";"2441"
"1463858123.98598";"около 5 тысяч";"49";"агрессивный";"7";"292";"7";"1 год 8 месяцев";"около 57 тысяч";"90";"7 / 4";"37109";"0";"19806";"18818";"32221";"18332";"2468"
"1463901320.81528";"около 7 тысяч";"49";"агрессивный";"8";"292";"7";"1 год 8 месяцев";"около 57 тысяч";"90";"7 / 4";"37109";"0";"19521";"18549";"31660";"18121";"2587"
"1463944522.30439";"около 2 тысяч";"49";"агрессивный";"8";"292";"7";"1 год 8 месяцев";"около 58 тысяч";"90";"7 / 4";"37109";"0";"19536";"18718";"32063";"18300";"2800"
"1463987719.52046";"около 2 тысяч";"49";"агрессивный";"9";"292";"7";"1 год 8 месяцев";"около 58 тысяч";"90";"7 / 4";"37109";"0";"19233";"18488";"31546";"18097";"2591"
"1464030922.3425";"около 5 тысяч";"49";"агрессивный";"10";"292";"7";"1 год 8 месяцев";"около 58 тысяч";"90";"7 / 4";"37109";"0";"19503";"18647";"31868";"18298";"2429"
"1464074119.41258";"около 2 тысяч";"49";"агрессивный";"10";"292";"7";"1 год 8 месяцев";"около 58 тысяч";"90";"7 / 4";"37109";"0";"19280";"18411";"31421";"18047";"2485"
"1464117319.81958";"около 3 тысяч";"49";"агрессивный";"10";"292";"7";"1 год 8 месяцев";"около 58 тысяч";"90";"7 / 4";"37109";"0";"19513";"18538";"31776";"18241";"2527"
"1464160519.09096";"около 4 тысяч";"49";"агрессивный";"11";"292";"8";"1 год 8 месяцев";"около 58 тысяч";"90";"7 / 4";"37109";"0";"19214";"17377";"31236";"17981";"2396"
"1464203719.0798";"около 4 тысяч";"49";"агрессивный";"12";"292";"8";"1 год 8 месяцев";"около 58 тысяч";"90";"7 / 4";"37109";"0";"19483";"17563";"31630";"18210";"2525"
"1464246918.81552";"около тысячи";"49";"агрессивный";"12";"292";"8";"1 год 8 месяцев";"около 58 тысяч";"91";"7 / 4";"37109";"0";"19199";"17360";"31527";"17950";"2666"
"1464290119.19422";"около 6 тысяч";"49";"агрессивный";"13";"292";"8";"1 год 8 месяцев";"около 58 тысяч";"91";"7 / 4";"37109";"0";"19364";"17478";"31900";"18171";"2641"
