"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854334.66647";"около 3 тысяч";"70";"добродетельный";"798";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"149";"7 / 6";"12919";"25435";"0";"7908";"17169";"8641";"8175";"2929"
"1463858190.99833";"около 3 тысяч";"70";"добродетельный";"798";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"149";"7 / 6";"12919";"25435";"0";"7915";"17187";"8651";"8181";"3041"
"1463901387.3235";"около 3 тысяч";"70";"добродетельный";"798";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"149";"7 / 6";"12911";"25435";"0";"7833";"16935";"8560";"8122";"2544"
"1463944588.77084";"около 4 тысяч";"70";"добродетельный";"798";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"149";"7 / 6";"12902";"25435";"0";"7904";"17059";"8628";"8179";"2014"
"1463987785.99463";"ни одного";"70";"добродетельный";"798";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"150";"7 / 6";"12901";"25435";"0";"7820";"16850";"8661";"8111";"1866"
"1464030988.92168";"около 3 тысяч";"70";"добродетельный";"805";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"150";"7 / 6";"12900";"25435";"0";"7917";"17010";"8729";"8170";"2611"
"1464074185.95583";"около 5 тысяч";"70";"добродетельный";"806";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"150";"7 / 6";"12897";"25435";"0";"7883";"16812";"8654";"8122";"2439"
"1464117386.39297";"около 5 тысяч";"70";"добродетельный";"806";"376";"8";"2 года 8 месяцев";"около 174 тысяч";"150";"7 / 6";"12898";"25435";"0";"7925";"16931";"8757";"8170";"2863"
"1464160585.62268";"около тысячи";"70";"добродетельный";"807";"376";"9";"2 года 8 месяцев";"около 174 тысяч";"150";"7 / 6";"12891";"25435";"0";"7745";"15904";"8643";"8086";"2708"
"1464203785.66049";"около 6 тысяч";"70";"добродетельный";"807";"376";"9";"2 года 8 месяцев";"около 174 тысяч";"150";"7 / 6";"12878";"25435";"0";"7809";"16064";"8710";"8145";"1723"
"1464246985.3057";"около тысячи";"70";"добродетельный";"808";"376";"9";"2 года 8 месяцев";"около 175 тысяч";"150";"7 / 6";"12876";"25435";"0";"8698";"15842";"8582";"8053";"1545"
"1464290185.76703";"около 5 сотен";"70";"добродетельный";"809";"376";"9";"2 года 8 месяцев";"около 175 тысяч";"150";"7 / 6";"12876";"25435";"0";"8801";"15925";"8690";"8121";"2103"
