"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854380.87105";"около 3 тысяч";"53";"нейтральный";"14";"308";"";"5 лет 1 месяц";"около 72 тысяч";"103";"15 / 23";"36959";"0";"16141";"0";"28573";"18393";"0"
"1463858237.66071";"около 3 тысяч";"53";"нейтральный";"14";"308";"";"5 лет 1 месяц";"около 72 тысяч";"103";"15 / 23";"36959";"0";"16151";"0";"28594";"18408";"0"
"1463901433.36025";"около 3 тысяч";"53";"нейтральный";"14";"308";"";"5 лет 1 месяц";"около 72 тысяч";"103";"15 / 23";"36959";"0";"15954";"0";"28219";"18212";"0"
"1463944634.82015";"около сотни";"53";"нейтральный";"16";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"16202";"0";"28850";"18364";"0"
"1463987832.02057";"около 15 сотен";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"16000";"0";"28460";"18157";"0"
"1464031035.03131";"около 7 тысяч";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"16193";"0";"28739";"18374";"0"
"1464074232.03696";"около 7 тысяч";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"16018";"0";"28388";"18184";"0"
"1464117432.49704";"около 7 тысяч";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"16239";"0";"28781";"18433";"0"
"1464160631.68242";"около 7 тысяч";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"15993";"0";"28374";"18198";"0"
"1464203831.72361";"около 7 тысяч";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"16229";"0";"28752";"18447";"0"
"1464247031.39716";"около 7 тысяч";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"15984";"0";"28342";"18184";"0"
"1464290231.82856";"около 7 тысяч";"53";"нейтральный";"17";"308";"";"5 лет 1 месяц";"около 72 тысяч";"104";"15 / 23";"36959";"0";"16209";"0";"28731";"18416";"0"
