"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854391.56233";"около 5 тысяч";"51";"миролюбивый";"2";"300";"";"1 год 5 месяцев";"около 65 тысяч";"99";"0 / 0";"37241";"0";"18079";"0";"31275";"18616";"9269"
"1463858247.87018";"около 5 тысяч";"51";"миролюбивый";"2";"300";"";"1 год 5 месяцев";"около 65 тысяч";"99";"0 / 0";"37241";"0";"18096";"0";"31305";"18631";"9353"
"1463901443.56987";"около 5 тысяч";"51";"добродушный";"2";"300";"";"1 год 5 месяцев";"около 65 тысяч";"99";"0 / 0";"37242";"0";"17874";"0";"30848";"18435";"9809"
"1463944645.04327";"около 6 тысяч";"51";"миролюбивый";"4";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"17847";"0";"30718";"18590";"9378"
"1463987842.26679";"около 5 тысяч";"51";"добродушный";"4";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"17628";"0";"30306";"18384";"9816"
"1464031045.27509";"около 2 десятков";"51";"миролюбивый";"7";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"19330";"0";"30589";"18583";"8513"
"1464074242.24491";"около тысячи";"51";"миролюбивый";"7";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"17874";"0";"30224";"18384";"8975"
"1464117442.72119";"около 6 тысяч";"51";"миролюбивый";"7";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"18156";"0";"30525";"18619";"9322"
"1464160641.89176";"около 6 тысяч";"51";"добродушный";"7";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"17897";"0";"30079";"18374";"9751"
"1464203841.94423";"около 16 сотен";"51";"миролюбивый";"8";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"17941";"0";"30453";"18589";"8997"
"1464247041.6188";"около 19 сотен";"51";"миролюбивый";"8";"300";"";"1 год 5 месяцев";"около 65 тысяч";"98";"0 / 0";"37242";"0";"17681";"0";"29912";"18324";"9370"
"1464290242.06757";"около сотни";"51";"миролюбивый";"14";"300";"";"1 год 5 месяцев";"около 65 тысяч";"99";"0 / 0";"37242";"0";"17893";"0";"30674";"18541";"8549"
