"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854458.16203";"около 7 тысяч";"88";"беззлобный";"992";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"165";"270 / 349";"3222";"1136";"2677";"1755";"0";"1663";"5532";"14659"
"1463858315.02044";"около 7 тысяч";"88";"беззлобный";"992";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"165";"270 / 349";"3222";"1136";"2677";"1755";"0";"1663";"5533";"14723"
"1463901509.94586";"около 7 тысяч";"88";"беззлобный";"992";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"165";"270 / 349";"3224";"1136";"2676";"1747";"0";"1654";"5506";"15004"
"1463944711.54658";"около 8 тысяч";"88";"беззлобный";"999";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"165";"270 / 349";"3221";"1136";"2676";"1750";"0";"1660";"5533";"14630"
"1463987908.72528";"около 21 тысяч";"88";"беззлобный";"998";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"165";"270 / 349";"3207";"1136";"2676";"1745";"0";"1650";"5508";"14516"
"1464031111.81398";"ни одного";"88";"беззлобный";"998";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"166";"270 / 349";"3207";"1136";"2676";"1752";"0";"1689";"5543";"15055"
"1464074308.70762";"около 12 тысяч";"88";"беззлобный";"999";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"166";"270 / 349";"3207";"1136";"2676";"1740";"0";"1677";"5515";"15415"
"1464117509.28333";"около 32 тысяч";"88";"беззлобный";"1000";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"166";"270 / 349";"3205";"1136";"2676";"1743";"0";"1688";"5537";"15917"
"1464160708.33888";"около тысячи";"88";"беззлобный";"1000";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"166";"270 / 350";"3206";"1136";"2678";"1731";"0";"1679";"5499";"15807"
"1464203908.41354";"около тысячи";"88";"беззлобный";"1000";"448";"";"6 лет 11 месяцев";"около 337 тысяч";"166";"270 / 350";"3209";"1136";"2681";"1740";"0";"1692";"5536";"16311"
"1464247108.08051";"около 9 тысяч";"88";"добродушный";"1001";"448";"6 лет 11 месяцев";"около 337 тысяч";"166";"270 / 350";"3207";"1136";"2682";"1723";"0";"1675";"5505";"13954"
"1464290308.54113";"около 5 тысяч";"88";"добродушный";"1003";"448";"6 лет 11 месяцев";"около 337 тысяч";"166";"270 / 350";"3206";"1136";"2683";"1730";"0";"1681";"5541";"14444"
