"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854468.50152";"около 3 тысяч";"42";"абсолютное добро";"7";"264";"12";"6 месяцев";"около 38 тысяч";"19";"17 / 5";"37210";"0";"23033";"12632";"1709";"18364";"314"
"1463858325.27601";"около 3 тысяч";"42";"абсолютное добро";"7";"264";"12";"6 месяцев";"около 38 тысяч";"19";"17 / 5";"37210";"0";"23057";"12642";"1708";"18378";"370"
"1463901520.1986";"около сотни";"42";"абсолютное добро";"8";"264";"12";"6 месяцев";"около 38 тысяч";"19";"17 / 5";"37210";"0";"22783";"12527";"1688";"18167";"289"
"1463944721.79886";"около 19 сотен";"42";"абсолютное добро";"8";"264";"12";"6 месяцев";"около 38 тысяч";"19";"17 / 5";"37210";"0";"22971";"12609";"1674";"18382";"348"
"1463987918.99184";"около 2 тысяч";"42";"абсолютное добро";"9";"264";"12";"6 месяцев";"около 38 тысяч";"19";"17 / 5";"37210";"0";"22615";"12529";"1647";"18171";"706"
"1464031122.12813";"около 3 тысяч";"42";"абсолютное добро";"10";"264";"12";"6 месяцев";"около 39 тысяч";"19";"17 / 5";"37210";"0";"22901";"12621";"1640";"18390";"128"
"1464074318.99582";"около 6 тысяч";"42";"абсолютное добро";"11";"264";"13";"6 месяцев";"около 39 тысяч";"19";"17 / 5";"37210";"0";"22529";"11808";"1607";"18161";"358"
"1464117519.60681";"около 5 тысяч";"42";"абсолютное добро";"11";"264";"13";"6 месяцев";"около 39 тысяч";"19";"17 / 5";"37210";"0";"22784";"11870";"1602";"18378";"15"
"1464160718.58722";"около 5 тысяч";"42";"абсолютное добро";"12";"264";"13";"6 месяцев";"около 39 тысяч";"19";"17 / 5";"37210";"0";"22288";"11723";"1578";"18128";"40"
"1464203918.66051";"около 7 тысяч";"42";"абсолютное добро";"12";"264";"13";"6 месяцев";"около 39 тысяч";"19";"17 / 5";"37210";"0";"22562";"11829";"1573";"18382";"181"
"1464247118.32058";"около 7 тысяч";"42";"абсолютное добро";"13";"264";"13";"7 месяцев";"около 39 тысяч";"19";"17 / 5";"37210";"0";"22202";"11715";"1535";"18085";"224"
"1464290318.81299";"около 18 сотен";"42";"абсолютное добро";"13";"264";"13";"7 месяцев";"около 39 тысяч";"18";"17 / 5";"37210";"0";"22458";"11772";"1239";"18299";"513"
