"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854473.61638";"около 3 тысяч";"70";"беззлобный";"800";"376";"28";"7 лет 1 месяц";"около 157 тысяч";"151";"53 / 23";"13143";"25598";"13257";"7674";"4096";"11645";"8764";"15537"
"1463858330.41109";"около 2 сотен";"70";"беззлобный";"801";"376";"28";"7 лет 1 месяц";"около 157 тысяч";"152";"53 / 23";"13135";"25598";"13258";"7678";"4097";"11854";"8771";"15618"
"1463901525.31879";"около 2 сотен";"70";"беззлобный";"801";"376";"28";"7 лет 1 месяц";"около 157 тысяч";"152";"53 / 23";"13138";"25598";"13266";"7610";"4072";"11751";"8710";"15900"
"1463944726.92429";"около 4 тысяч";"70";"беззлобный";"802";"376";"28";"7 лет 1 месяц";"около 157 тысяч";"152";"53 / 23";"13135";"25598";"13278";"7672";"4098";"11816";"8771";"16411"
"1463987924.10573";"около 3 тысяч";"70";"беззлобный";"803";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"152";"53 / 23";"13134";"25598";"13273";"7537";"4085";"11674";"8691";"16076"
"1464031127.26387";"около 6 тысяч";"70";"беззлобный";"804";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"152";"53 / 23";"13127";"25598";"13284";"7573";"4103";"11732";"8759";"16607"
"1464074324.11171";"около 6 тысяч";"70";"беззлобный";"805";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"152";"53 / 23";"13120";"25598";"13287";"7481";"4091";"11612";"8704";"16886"
"1464117524.73201";"около 6 тысяч";"70";"беззлобный";"805";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"152";"53 / 23";"13118";"25598";"13289";"7506";"4109";"11743";"8767";"15894"
"1464160723.71518";"около 5 тысяч";"70";"беззлобный";"805";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"152";"53 / 23";"13117";"25598";"13294";"7435";"4079";"11567";"8680";"16223"
"1464203923.78076";"около 6 тысяч";"70";"добродушный";"805";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"152";"53 / 23";"13121";"25598";"13296";"7511";"4097";"11702";"8748";"14506"
"1464247123.46367";"около тысячи";"70";"добродушный";"806";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"153";"53 / 23";"13114";"25598";"13300";"7425";"4062";"11709";"8653";"14817"
"1464290323.93998";"около 3 тысяч";"70";"беззлобный";"812";"376";"28";"7 лет 1 месяц";"около 158 тысяч";"153";"53 / 23";"13110";"25598";"13306";"7515";"4085";"11849";"8723";"15355"
