"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854514.63622";"около 3 тысяч";"69";"нейтральный";"831";"372";"";"3 года 2 месяца";"около 148 тысяч";"147";"72 / 49";"13930";"23165";"12409";"8938";"0";"12824";"8527";"0"
"1463858371.71051";"около 3 тысяч";"69";"нейтральный";"831";"372";"";"3 года 2 месяца";"около 148 тысяч";"147";"72 / 49";"13930";"23165";"12409";"8945";"0";"12837";"8533";"0"
"1463901566.18063";"около 3 тысяч";"69";"нейтральный";"831";"372";"";"3 года 2 месяца";"около 148 тысяч";"147";"72 / 49";"13937";"23165";"12411";"8877";"0";"12693";"8477";"0"
"1463944767.82455";"около 3 тысяч";"69";"нейтральный";"831";"372";"";"3 года 2 месяца";"около 148 тысяч";"147";"72 / 49";"13944";"23165";"12414";"8962";"0";"12816";"8536";"0"
"1463987965.01182";"около 3 тысяч";"69";"нейтральный";"831";"372";"";"3 года 2 месяца";"около 148 тысяч";"147";"72 / 49";"13947";"23165";"12416";"8840";"0";"12659";"8461";"0"
"1464031168.19817";"около 3 тысяч";"69";"нейтральный";"831";"372";"";"3 года 2 месяца";"около 148 тысяч";"147";"72 / 49";"13956";"23165";"12420";"8919";"0";"12778";"8522";"0"
"1464074365.00105";"около 3 тысяч";"69";"нейтральный";"831";"372";"";"3 года 2 месяца";"около 148 тысяч";"147";"72 / 49";"13961";"23165";"12424";"8861";"0";"12702";"8477";"0"
"1464117565.75909";"около 5 тысяч";"69";"нейтральный";"834";"372";"";"3 года 2 месяца";"около 148 тысяч";"148";"72 / 49";"13917";"23165";"12428";"8950";"0";"12978";"8501";"0"
"1464160764.78967";"около 9 тысяч";"69";"нейтральный";"835";"372";"";"3 года 2 месяца";"около 148 тысяч";"148";"72 / 49";"13909";"23165";"12433";"8848";"0";"12788";"8407";"0"
"1464203964.76477";"около 6 тысяч";"69";"нейтральный";"836";"372";"";"3 года 2 месяца";"около 148 тысяч";"148";"72 / 49";"13911";"23165";"12438";"8957";"0";"12952";"8463";"0"
"1464247164.38897";"около 6 тысяч";"69";"нейтральный";"836";"372";"";"3 года 2 месяца";"около 148 тысяч";"148";"72 / 49";"13917";"23165";"12439";"8830";"0";"12753";"8384";"0"
"1464290364.85024";"около 10 тысяч";"69";"нейтральный";"837";"372";"";"3 года 2 месяца";"около 149 тысяч";"148";"72 / 49";"13915";"23165";"12446";"8882";"0";"12864";"8446";"0"
