"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854529.96925";"около 6 тысяч";"72";"нейтральный";"1001";"384";"13";"4 года 2 месяца";"около 165 тысяч";"167";"28 / 18";"11640";"20307";"0";"8718";"11216";"13482";"8286";"0"
"1463858387.23228";"около 6 тысяч";"72";"нейтральный";"1001";"384";"13";"4 года 2 месяца";"около 165 тысяч";"167";"28 / 18";"11641";"20307";"0";"8725";"11225";"13495";"8294";"0"
"1463901581.53116";"около 3 сотен";"72";"нейтральный";"1001";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11641";"20307";"0";"8655";"11147";"13570";"8227";"0"
"1463944783.18152";"около 3 сотен";"72";"нейтральный";"1001";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11645";"20307";"0";"8735";"11236";"13705";"8287";"0"
"1463987980.33461";"около 3 сотен";"72";"нейтральный";"1001";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11647";"20307";"0";"8627";"11185";"13528";"8217";"0"
"1464031183.54518";"около 8 тысяч";"72";"нейтральный";"1002";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11641";"20307";"0";"8650";"11255";"13589";"8272";"0"
"1464074380.34589";"около 6 тысяч";"72";"нейтральный";"1009";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11631";"20307";"0";"8595";"11170";"13506";"8220";"0"
"1464117581.10847";"около 6 тысяч";"72";"нейтральный";"1009";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11607";"20307";"0";"8672";"11251";"13680";"8269";"0"
"1464160780.11423";"около 3 тысяч";"72";"нейтральный";"1009";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11603";"20307";"0";"8521";"11136";"13481";"8181";"0"
"1464203980.08845";"около 3 тысяч";"72";"нейтральный";"1009";"384";"13";"4 года 2 месяца";"около 165 тысяч";"168";"28 / 18";"11611";"20307";"0";"8628";"11248";"13635";"8251";"0"
"1464247179.73767";"ни одного";"72";"нейтральный";"1010";"384";"14";"4 года 2 месяца";"около 165 тысяч";"169";"28 / 18";"11606";"20307";"0";"8528";"10408";"13613";"8161";"0"
"1464290380.182";"ни одного";"72";"нейтральный";"1010";"384";"14";"4 года 2 месяца";"около 165 тысяч";"169";"28 / 18";"11615";"20307";"0";"8632";"10483";"13770";"8232";"0"
