"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854535.13191";"около 13 тысяч";"49";"агрессивный";"1";"292";"19";"10 месяцев";"около 59 тысяч";"66";"25 / 24";"37259";"0";"19590";"7776";"17650";"18571";"2352"
"1463858392.5525";"около 4 тысяч";"49";"агрессивный";"5";"292";"19";"10 месяцев";"около 59 тысяч";"66";"26 / 24";"37259";"0";"19532";"7777";"17604";"18589";"2373"
"1463901586.6561";"около 3 тысяч";"49";"агрессивный";"5";"292";"19";"10 месяцев";"около 59 тысяч";"66";"26 / 24";"37260";"0";"19594";"7729";"17344";"18365";"2293"
"1463944788.31485";"около тысячи";"49";"агрессивный";"6";"292";"19";"10 месяцев";"около 59 тысяч";"66";"26 / 24";"37260";"0";"19763";"7770";"17425";"18575";"2428"
"1463987985.45254";"около 4 тысяч";"49";"агрессивный";"6";"292";"19";"10 месяцев";"около 59 тысяч";"66";"26 / 24";"37260";"0";"19517";"7732";"17242";"18360";"2597"
"1464031188.68687";"около 3 тысяч";"49";"агрессивный";"8";"292";"19";"10 месяцев";"около 59 тысяч";"66";"26 / 25";"37260";"0";"19504";"7771";"17245";"18525";"2116"
"1464074385.47117";"около 3 тысяч";"49";"злобный";"8";"292";"19";"10 месяцев";"около 59 тысяч";"66";"26 / 25";"37260";"0";"19281";"7731";"17010";"18307";"1966"
"1464117586.26667";"около 4 тысяч";"49";"злобный";"9";"292";"19";"10 месяцев";"около 59 тысяч";"66";"26 / 25";"37260";"0";"19533";"7771";"17120";"18541";"2036"
"1464160785.2337";"около 6 сотен";"49";"злобный";"9";"292";"19";"10 месяцев";"около 59 тысяч";"67";"26 / 25";"37260";"0";"19216";"7704";"17489";"18274";"1892"
"1464203985.22008";"около 7 тысяч";"49";"злобный";"10";"292";"20";"10 месяцев";"около 60 тысяч";"67";"26 / 25";"37260";"0";"19435";"7391";"17604";"18525";"2018"
"1464247184.85435";"около 5 тысяч";"49";"злобный";"11";"292";"20";"10 месяцев";"около 60 тысяч";"67";"27 / 25";"37260";"0";"19066";"7318";"17328";"18229";"1959"
"1464290385.30414";"около 7 тысяч";"49";"злобный";"13";"292";"20";"10 месяцев";"около 60 тысяч";"67";"27 / 25";"37260";"0";"19160";"7357";"17423";"18443";"1696"
