"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854570.97613";"около 3 тысяч";"45";"добродетельный";"14";"276";"15";"7 месяцев";"около 44 тысяч";"37";"86 / 87";"37093";"12875";"19796";"10326";"7920";"18246";"1001"
"1463858428.74156";"около 6 тысяч";"45";"абсолютное добро";"14";"276";"15";"7 месяцев";"около 44 тысяч";"37";"86 / 87";"37093";"12875";"19822";"10332";"7926";"18254";"1080"
"1463901622.49322";"около 5 тысяч";"45";"абсолютное добро";"16";"276";"15";"7 месяцев";"около 44 тысяч";"37";"86 / 87";"37093";"12879";"19573";"10269";"7823";"18039";"666"
"1463944824.14024";"около 2 тысяч";"45";"абсолютное добро";"17";"276";"15";"7 месяцев";"около 44 тысяч";"37";"87 / 88";"37093";"12664";"19827";"10330";"7858";"18196";"546"
"1463988021.24897";"около 5 тысяч";"45";"добродетельный";"18";"276";"15";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12662";"19583";"10291";"7705";"17979";"948"
"1464031224.54381";"около 6 тысяч";"45";"абсолютное добро";"18";"276";"15";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12666";"19926";"10356";"7737";"18167";"701"
"1464074421.29655";"около 13 тысяч";"45";"добродетельный";"18";"276";"15";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12668";"19619";"10283";"7628";"17951";"853"
"1464117622.09444";"около 8 тысяч";"45";"абсолютное добро";"19";"276";"15";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12674";"19876";"10344";"7681";"18177";"391"
"1464160822.00448";"около 8 тысяч";"45";"абсолютное добро";"21";"276";"15";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12678";"19580";"10237";"7540";"17946";"535"
"1464204020.99211";"около 7 сотен";"45";"абсолютное добро";"22";"276";"15";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12681";"19836";"10318";"7592";"18142";"788"
"1464247220.72289";"около 17 тысяч";"45";"абсолютное добро";"24";"276";"16";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12685";"19542";"9581";"7453";"17773";"381"
"1464290421.09301";"около 11 тысяч";"45";"абсолютное добро";"25";"276";"16";"7 месяцев";"около 45 тысяч";"37";"87 / 88";"37093";"12691";"19793";"9647";"7503";"17977";"759"
