"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854586.34556";"ни одного";"59";"добродушный";"12";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"58";"42 / 44";"36994";"0";"13386";"13829";"3075";"18413";"10132"
"1463858444.08849";"ни одного";"59";"добродушный";"12";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"58";"42 / 44";"36994";"0";"13396";"13839";"3078";"18427";"10209"
"1463901637.80542";"ни одного";"59";"добродушный";"12";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"58";"42 / 44";"36994";"0";"13231";"13699";"3062";"18229";"10613"
"1463944839.50185";"около 16 сотен";"59";"добродушный";"12";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"58";"42 / 44";"36994";"0";"13362";"13792";"3076";"18456";"10709"
"1463988036.58222";"около 5 тысяч";"59";"добродушный";"13";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"58";"42 / 44";"36994";"0";"13248";"13692";"3033";"18218";"10883"
"1464031239.97154";"около 7 тысяч";"59";"добродушный";"13";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"58";"42 / 44";"36994";"0";"13387";"13804";"3042";"18410";"10214"
"1464074436.62186";"около 4 тысяч";"59";"добродушный";"14";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"58";"42 / 44";"36994";"0";"13159";"13678";"3019";"18215";"9565"
"1464117637.45094";"ни одного";"59";"добродушный";"14";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"59";"42 / 44";"36994";"0";"13319";"13764";"3200";"18459";"10181"
"1464160837.52945";"ни одного";"59";"добродушный";"14";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"59";"42 / 44";"36994";"0";"13131";"13583";"3180";"18223";"10571"
"1464204036.31412";"около 4 тысяч";"59";"добродушный";"16";"332";"11";"4 года 12 месяцев";"около 100 тысяч";"59";"42 / 44";"36994";"0";"13311";"13707";"3200";"18464";"11107"
"1464247236.07767";"около 16 сотен";"59";"добродушный";"17";"332";"11";"5 лет";"около 100 тысяч";"59";"42 / 44";"36994";"0";"13082";"13560";"3156";"18187";"10731"
"1464290436.46805";"около 16 сотен";"59";"добродушный";"17";"332";"11";"5 лет";"около 100 тысяч";"59";"42 / 44";"36994";"0";"13262";"13621";"3178";"18419";"11253"
