"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854606.84127";"около 3 тысяч";"70";"миролюбивый";"814";"376";"5";"4 года";"около 166 тысяч";"146";"31 / 59";"13180";"15669";"0";"10127";"20983";"9232";"8945";"7878"
"1463858472.82312";"около 3 тысяч";"70";"миролюбивый";"814";"376";"5";"4 года";"около 166 тысяч";"146";"31 / 59";"13179";"15669";"0";"10139";"21000";"9242";"8952";"7951"
"1463901658.26904";"около 6 тысяч";"70";"миролюбивый";"814";"376";"5";"4 года";"около 166 тысяч";"146";"31 / 59";"13170";"15669";"0";"10044";"20638";"9134";"8888";"8380"
"1463944859.9576";"около 15 тысяч";"70";"миролюбивый";"815";"376";"5";"4 года";"около 166 тысяч";"146";"31 / 59";"13168";"15669";"0";"10131";"20806";"9217";"8952";"9090"
"1463988057.10504";"около 8 тысяч";"70";"добродушный";"815";"376";"5";"4 года";"около 166 тысяч";"146";"31 / 59";"13171";"15669";"0";"10010";"20504";"9092";"8862";"9549"
"1464031260.4717";"около 8 тысяч";"70";"добродушный";"815";"376";"5";"4 года";"около 166 тысяч";"146";"31 / 59";"13181";"15669";"0";"10105";"20675";"9189";"8938";"10195"
"1464074457.06228";"около 8 тысяч";"70";"добродушный";"815";"376";"5";"4 года";"около 166 тысяч";"146";"31 / 59";"13184";"15669";"0";"10025";"20366";"9123";"8893";"10579"
"1464117657.92528";"около 6 тысяч";"70";"добродушный";"818";"376";"6";"4 года";"около 167 тысяч";"146";"31 / 59";"13158";"15669";"0";"10137";"19918";"9198";"8916";"10445"
"1464160857.98388";"около 2 тысяч";"70";"добродушный";"819";"376";"6";"4 года";"около 167 тысяч";"146";"31 / 59";"13156";"15669";"0";"9958";"19578";"9050";"8810";"10813"
"1464204056.80065";"около 3 тысяч";"70";"добродушный";"820";"376";"6";"4 года";"около 167 тысяч";"146";"31 / 59";"13160";"15669";"0";"10050";"19783";"9150";"8879";"10602"
"1464247256.52773";"около 2 тысяч";"70";"миролюбивый";"821";"376";"6";"4 года 1 месяц";"около 167 тысяч";"146";"31 / 59";"13149";"15669";"0";"9919";"19488";"8989";"8786";"9367"
"1464290456.9833";"около 8 тысяч";"70";"миролюбивый";"821";"376";"6";"4 года 1 месяц";"около 167 тысяч";"146";"31 / 59";"13145";"15669";"0";"10013";"19601";"9080";"8860";"9398"
