"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854611.95695";"около 3 тысяч";"50";"миролюбивый";"13";"296";"";"1 год 1 месяц";"около 61 тысяч";"81";"0 / 1";"36980";"0";"17612";"0";"24729";"18229";"7862"
"1463858477.92264";"около 3 тысяч";"50";"миролюбивый";"13";"296";"";"1 год 1 месяц";"около 61 тысяч";"81";"0 / 1";"36980";"0";"17631";"0";"24754";"18246";"7936"
"1463901663.37569";"около 6 тысяч";"50";"миролюбивый";"14";"296";"";"1 год 1 месяц";"около 61 тысяч";"81";"0 / 1";"36980";"0";"17502";"0";"24418";"18042";"7828"
"1463944865.06089";"около 5 тысяч";"50";"миролюбивый";"15";"296";"";"1 год 1 месяц";"около 62 тысяч";"81";"0 / 1";"36980";"0";"17696";"0";"24649";"18233";"7108"
"1463988062.21802";"около 5 тысяч";"50";"миролюбивый";"16";"296";"";"1 год 1 месяц";"около 62 тысяч";"81";"0 / 1";"36980";"0";"17435";"0";"24330";"17994";"6425"
"1464031265.57754";"около 8 тысяч";"50";"миролюбивый";"16";"296";"";"1 год 1 месяц";"около 62 тысяч";"81";"0 / 1";"36980";"0";"17662";"0";"24578";"18195";"6519"
"1464074462.16735";"около 7 сотен";"50";"миролюбивый";"16";"296";"";"1 год 1 месяц";"около 62 тысяч";"81";"0 / 1";"36980";"0";"17361";"0";"24224";"17985";"6685"
"1464117663.03533";"ни одного";"50";"миролюбивый";"16";"296";"";"1 год 1 месяц";"около 62 тысяч";"82";"0 / 1";"36980";"0";"17624";"0";"25057";"18226";"7031"
"1464160863.0904";"около 3 тысяч";"50";"миролюбивый";"21";"296";"";"1 год 2 месяца";"около 62 тысяч";"82";"0 / 1";"36980";"0";"17480";"0";"24658";"17989";"7496"
"1464204061.90198";"около 6 тысяч";"50";"миролюбивый";"21";"296";"";"1 год 2 месяца";"около 62 тысяч";"82";"0 / 1";"36980";"0";"17813";"0";"24903";"18213";"7234"
"1464247261.64447";"около 18 сотен";"50";"миролюбивый";"22";"296";"";"1 год 2 месяца";"около 62 тысяч";"82";"0 / 1";"36980";"0";"17427";"0";"24482";"17912";"6795"
"1464290462.10852";"около 3 тысяч";"50";"миролюбивый";"23";"296";"";"1 год 2 месяца";"около 62 тысяч";"82";"0 / 1";"36980";"0";"17571";"0";"24747";"18145";"7084"
