"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854688.87212";"около 3 тысяч";"91";"нейтральный";"1009";"460";"";"6 лет 6 месяцев";"около 366 тысяч";"179";"94 / 166";"2434";"3927";"15713";"1151";"0";"1649";"3081";"0"
"1463858554.81733";"около 3 тысяч";"91";"нейтральный";"1009";"460";"";"6 лет 6 месяцев";"около 366 тысяч";"179";"94 / 166";"2434";"3927";"15714";"1151";"0";"1649";"3081";"0"
"1463901740.29091";"около 6 тысяч";"91";"беззлобный";"1009";"460";"";"6 лет 6 месяцев";"около 366 тысяч";"179";"94 / 166";"2435";"3927";"15715";"1148";"0";"1635";"3076";"16999"
"1463944942.09159";"около 7 тысяч";"91";"беззлобный";"1016";"460";"";"6 лет 6 месяцев";"около 366 тысяч";"179";"94 / 166";"2434";"3927";"15722";"1155";"0";"1639";"3083";"15526"
"1463988139.2126";"около 7 тысяч";"91";"беззлобный";"1016";"460";"";"6 лет 6 месяцев";"около 366 тысяч";"179";"94 / 166";"2436";"3927";"15727";"1155";"0";"1635";"3070";"15897"
"1464031342.60051";"около 7 тысяч";"91";"беззлобный";"1016";"460";"";"6 лет 6 месяцев";"около 366 тысяч";"179";"94 / 166";"2436";"3927";"15739";"1159";"0";"1643";"3083";"16413"
"1464074539.01887";"около 10 тысяч";"91";"беззлобный";"1018";"460";"";"6 лет 6 месяцев";"около 367 тысяч";"179";"94 / 166";"2436";"3927";"15741";"1157";"0";"1628";"3068";"14697"
"1464117739.912";"около 9 тысяч";"91";"добродушный";"1018";"460";"";"6 лет 6 месяцев";"около 367 тысяч";"179";"94 / 166";"2436";"3927";"15743";"1163";"0";"1639";"3074";"14346"
"1464160939.96107";"около 10 тысяч";"91";"добродушный";"1019";"460";"";"6 лет 6 месяцев";"около 367 тысяч";"179";"94 / 166";"2438";"3927";"15747";"1159";"0";"1631";"3063";"12818"
"1464204138.91116";"около 5 сотен";"91";"добродушный";"1019";"460";"";"6 лет 6 месяцев";"около 367 тысяч";"180";"94 / 166";"2438";"3927";"15750";"1161";"0";"1672";"3079";"13393"
"1464247338.53928";"около тысячи";"91";"добродушный";"1019";"460";"";"6 лет 6 месяцев";"около 367 тысяч";"180";"94 / 166";"2438";"3927";"15753";"1154";"0";"1655";"3064";"13054"
"1464290539.01886";"около 9 тысяч";"91";"добродушный";"1021";"460";"";"6 лет 6 месяцев";"около 367 тысяч";"180";"94 / 166";"2438";"3927";"15757";"1161";"0";"1665";"3077";"10572"
