"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854760.68966";"около 4 тысяч";"85";"добродушный";"913";"436";"13";"7 лет 2 месяца";"около 294 тысяч";"171";"95 / 59";"4357";"4402";"7452";"1904";"11172";"3095";"4409";"11484"
"1463858626.55968";"около 4 тысяч";"85";"добродушный";"913";"436";"13";"7 лет 2 месяца";"около 294 тысяч";"171";"95 / 59";"4357";"4402";"7452";"1904";"11181";"3097";"4410";"11576"
"1463901811.80875";"около 4 тысяч";"85";"добродушный";"913";"436";"13";"7 лет 2 месяца";"около 294 тысяч";"171";"95 / 59";"4358";"4402";"7453";"1902";"11106";"3082";"4396";"11966"
"1463945013.70921";"около 4 тысяч";"85";"добродушный";"913";"436";"13";"7 лет 2 месяца";"около 294 тысяч";"171";"95 / 59";"4360";"4402";"7456";"1911";"11196";"3098";"4417";"12518"
"1463988210.83967";"около 9 тысяч";"85";"добродушный";"915";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4355";"4402";"7454";"1890";"10369";"3060";"4388";"11703"
"1464031414.33246";"около 8 тысяч";"85";"добродушный";"915";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4354";"4402";"7458";"1892";"10444";"3072";"4406";"11271"
"1464074610.59004";"около 4 тысяч";"85";"добродушный";"915";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4353";"4402";"7457";"1876";"10377";"3054";"4380";"10900"
"1464117811.52047";"около 3 тысяч";"85";"добродушный";"915";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4353";"4402";"7459";"1885";"10453";"3073";"4402";"10770"
"1464161011.62794";"около 2 тысяч";"85";"миролюбивый";"916";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4354";"4402";"7462";"1878";"10351";"3045";"4381";"9248"
"1464204210.63455";"около 3 тысяч";"85";"добродушный";"916";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4354";"4402";"7467";"1884";"10449";"3066";"4401";"9904"
"1464247410.1105";"около 5 тысяч";"85";"добродушный";"916";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4353";"4402";"7465";"1875";"10366";"3027";"4383";"10274"
"1464290610.72813";"около 8 тысяч";"85";"миролюбивый";"917";"436";"14";"7 лет 2 месяца";"около 295 тысяч";"171";"95 / 59";"4355";"4402";"7469";"1875";"10438";"3050";"4417";"9473"
