"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854704.24576";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10944";"17503";"23537";"8088";"8203";"4233";"7311";"0"
"1463858570.21215";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10944";"17503";"23538";"8094";"8204";"4236";"7315";"0"
"1463901755.61564";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10947";"17503";"23542";"8021";"8148";"4208";"7266";"0"
"1463944957.43967";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10949";"17503";"23546";"8089";"8197";"4234";"7316";"0"
"1463988154.55876";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10956";"17503";"23551";"8003";"8160";"4193";"7270";"0"
"1464031357.96355";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10963";"17503";"23557";"8076";"8202";"4227";"7330";"0"
"1464074554.36564";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10966";"17503";"23555";"8025";"8152";"4198";"7291";"0"
"1464117755.26297";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10971";"17503";"23566";"8094";"8195";"4232";"7332";"0"
"1464160955.31355";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10977";"17503";"23571";"8000";"8123";"4200";"7264";"0"
"1464204154.31118";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10980";"17503";"23579";"8086";"8190";"4237";"7326";"0"
"1464247353.89697";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10983";"17503";"23581";"7980";"8111";"4178";"7273";"0"
"1464290554.36957";"около 6 тысяч";"73";"нейтральный";"830";"388";"18";"4 года 5 месяцев";"около 189 тысяч";"122";"40 / 22";"10985";"17503";"23584";"8095";"8160";"4223";"7339";"0"
