"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854709.34879";"около 17 сотен";"48";"беззлобный";"15";"288";"";"1 год 1 месяц";"около 53 тысяч";"87";"3 / 5";"36969";"0";"20150";"0";"33832";"18402";"17642"
"1463858575.32992";"около 17 сотен";"48";"беззлобный";"15";"288";"";"1 год 1 месяц";"около 53 тысяч";"87";"3 / 5";"36969";"0";"20173";"0";"33872";"18411";"17711"
"1463901760.71648";"около 3 тысяч";"48";"беззлобный";"15";"288";"";"1 год 1 месяц";"около 53 тысяч";"87";"3 / 5";"36969";"0";"19935";"0";"33304";"18182";"16889"
"1463944962.55079";"около 3 тысяч";"48";"беззлобный";"16";"288";"";"1 год 1 месяц";"около 53 тысяч";"87";"3 / 5";"36969";"0";"20186";"0";"33707";"18411";"17393"
"1463988159.66865";"около 3 тысяч";"48";"беззлобный";"17";"288";"";"1 год 1 месяц";"около 53 тысяч";"87";"3 / 5";"36969";"0";"19910";"0";"33169";"18169";"16628"
"1464031363.0783";"около 3 тысяч";"48";"беззлобный";"17";"288";"";"1 год 1 месяц";"около 53 тысяч";"87";"3 / 5";"36969";"0";"20140";"0";"33616";"18369";"17170"
"1464074559.46249";"около 3 тысяч";"48";"беззлобный";"19";"288";"";"1 год 1 месяц";"около 53 тысяч";"88";"3 / 5";"36969";"0";"19914";"0";"33459";"18133";"17439"
"1464117760.36612";"около 3 тысяч";"48";"беззлобный";"19";"288";"";"1 год 1 месяц";"около 53 тысяч";"88";"3 / 5";"36969";"0";"20192";"0";"33913";"18362";"18012"
"1464160960.41555";"около 3 тысяч";"48";"беззлобный";"19";"288";"";"1 год 1 месяц";"около 53 тысяч";"88";"3 / 5";"36969";"0";"19901";"0";"33328";"18107";"18264"
"1464204159.42272";"около 4 тысяч";"48";"беззлобный";"19";"288";"";"1 год 1 месяц";"около 53 тысяч";"88";"3 / 5";"36969";"0";"20107";"0";"33844";"18354";"18785"
"1464247358.99651";"около 5 тысяч";"48";"беззлобный";"21";"288";"";"1 год 1 месяц";"около 54 тысяч";"88";"3 / 5";"36969";"0";"19732";"0";"33206";"18090";"18631"
"1464290559.52038";"около 5 тысяч";"48";"беззлобный";"21";"288";"";"1 год 1 месяц";"около 54 тысяч";"88";"3 / 5";"36969";"0";"19927";"0";"33639";"18272";"19166"
