"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854745.30365";"около 9 тысяч";"73";"добродушный";"922";"388";"44";"5 лет 11 месяцев";"около 145 тысяч";"133";"29 / 22";"10568";"25761";"0";"7122";"910";"10312";"6611";"11978"
"1463858611.15301";"около 9 тысяч";"73";"добродушный";"922";"388";"44";"5 лет 11 месяцев";"около 145 тысяч";"133";"29 / 22";"10567";"25761";"0";"7125";"910";"10322";"6616";"12058"
"1463901796.47755";"около 10 тысяч";"73";"добродушный";"922";"388";"44";"5 лет 11 месяцев";"около 145 тысяч";"133";"29 / 22";"10563";"25761";"0";"7064";"907";"10247";"6554";"12465"
"1463944998.36773";"около 2 тысяч";"73";"добродушный";"924";"388";"44";"5 лет 11 месяцев";"около 145 тысяч";"133";"29 / 22";"10564";"25761";"0";"7149";"912";"10332";"6555";"12999"
"1463988195.46228";"около 8 сотен";"73";"добродушный";"925";"388";"44";"5 лет 12 месяцев";"около 145 тысяч";"133";"29 / 22";"10564";"25761";"0";"7082";"910";"10159";"6516";"13375"
"1464031398.94549";"около 7 тысяч";"73";"добродушный";"928";"388";"44";"5 лет 12 месяцев";"около 145 тысяч";"133";"29 / 22";"10541";"25761";"0";"7139";"912";"10248";"6529";"12970"
"1464074595.24292";"около 16 тысяч";"73";"добродушный";"928";"388";"44";"5 лет 12 месяцев";"около 145 тысяч";"133";"29 / 22";"10537";"25761";"0";"7087";"909";"10160";"6491";"13293"
"1464117796.15979";"около 4 тысяч";"73";"добродушный";"929";"388";"44";"5 лет 12 месяцев";"около 145 тысяч";"133";"29 / 22";"10536";"25761";"0";"7153";"911";"10291";"6521";"13870"
"1464160996.26522";"около 3 тысяч";"73";"добродушный";"930";"388";"45";"5 лет 12 месяцев";"около 145 тысяч";"133";"29 / 22";"10527";"25761";"0";"7046";"810";"10124";"6438";"12561"
"1464204195.28278";"около 14 тысяч";"73";"добродушный";"932";"388";"45";"5 лет 12 месяцев";"около 145 тысяч";"133";"29 / 22";"10481";"25761";"0";"7146";"812";"10230";"6480";"12422"
"1464247394.77127";"около 3 тысяч";"73";"добродушный";"932";"388";"45";"5 лет 12 месяцев";"около 145 тысяч";"133";"29 / 22";"10471";"25761";"0";"7062";"792";"10083";"6439";"12778"
"1464290595.31639";"около 3 тысяч";"73";"добродушный";"932";"388";"45";"5 лет 12 месяцев";"около 146 тысяч";"133";"29 / 22";"10473";"25761";"0";"7148";"795";"10197";"6487";"12079"
