"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854765.88538";"около 5 тысяч";"71";"озлобленный";"819";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"164";"58 / 29";"12796";"24455";"13118";"8577";"3826";"12627";"7565";"4830"
"1463858631.67081";"около 5 тысяч";"71";"озлобленный";"819";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"164";"58 / 29";"12796";"24455";"13119";"8585";"3826";"12636";"7572";"4846"
"1463901816.91162";"около 5 тысяч";"71";"озлобленный";"819";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"164";"58 / 29";"12798";"24455";"13126";"8511";"3809";"12522";"7522";"4914"
"1463945018.81075";"около 6 сотен";"71";"озлобленный";"821";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"165";"58 / 29";"12787";"24455";"13132";"8580";"3827";"12776";"7571";"4895"
"1463988215.95614";"около 8 тысяч";"71";"озлобленный";"821";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"165";"58 / 29";"12791";"24455";"13129";"8484";"3822";"12619";"7515";"4983"
"1464031419.45318";"около 6 тысяч";"71";"озлобленный";"822";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"165";"58 / 29";"12753";"24455";"13142";"8559";"3837";"12710";"7569";"4899"
"1464074615.69434";"около 8 тысяч";"71";"озлобленный";"822";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"165";"58 / 29";"12753";"24455";"13144";"8499";"3824";"12628";"7529";"4980"
"1464117816.64531";"около 11 тысяч";"71";"недовольный";"823";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"165";"58 / 29";"12755";"24455";"13147";"8560";"3845";"12729";"7564";"5111"
"1464161016.73917";"около 11 тысяч";"71";"недовольный";"823";"380";"29";"2 года 5 месяцев";"около 166 тысяч";"165";"58 / 29";"12755";"24455";"13150";"8457";"3815";"12562";"7492";"5174"
"1464204215.77826";"около 6 тысяч";"71";"озлобленный";"829";"380";"29";"2 года 5 месяцев";"около 167 тысяч";"165";"58 / 29";"12721";"24455";"13153";"8542";"3838";"12684";"7545";"5078"
"1464247415.26488";"около 8 тысяч";"71";"озлобленный";"830";"380";"29";"2 года 5 месяцев";"около 167 тысяч";"165";"58 / 29";"12714";"24455";"13159";"8427";"3808";"12474";"7484";"5151"
"1464290615.85234";"около 4 тысяч";"71";"озлобленный";"831";"380";"29";"2 года 5 месяцев";"около 167 тысяч";"165";"58 / 29";"12713";"24455";"13164";"8530";"3831";"12603";"7525";"4980"
