"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854781.22117";"около 4 десятков";"72";"миролюбивый";"840";"384";"26";"5 лет 4 месяца";"около 184 тысяч";"154";"25 / 29";"11703";"24011";"0";"7317";"4797";"7925";"7635";"5154"
"1463858646.99614";"около сотни";"72";"миролюбивый";"840";"384";"26";"5 лет 4 месяца";"около 184 тысяч";"154";"25 / 29";"11695";"24011";"0";"7299";"4797";"8065";"7632";"5235"
"1463901832.23159";"около 6 тысяч";"72";"добродетельный";"841";"384";"26";"5 лет 4 месяца";"около 184 тысяч";"154";"25 / 29";"11691";"24011";"0";"7258";"4770";"7987";"7583";"3525"
"1463945034.13116";"около 7 тысяч";"72";"добродетельный";"841";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11693";"24011";"0";"7292";"4791";"8071";"7622";"3319"
"1463988231.29509";"около 9 тысяч";"72";"добродетельный";"841";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11691";"24011";"0";"7219";"4782";"7978";"7562";"3189"
"1464031434.77926";"около 6 сотен";"72";"добродетельный";"842";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11684";"24011";"0";"7264";"4803";"8026";"7613";"3297"
"1464074631.00664";"около 6 сотен";"72";"миролюбивый";"842";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11687";"24011";"0";"7219";"4785";"7963";"7571";"3794"
"1464117831.96004";"около 4 тысяч";"72";"добродетельный";"843";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11686";"24011";"0";"7272";"4806";"8044";"7610";"3528"
"1464161032.06702";"около 4 тысяч";"72";"миролюбивый";"843";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11689";"24011";"0";"7185";"4767";"7949";"7537";"4002"
"1464204231.10702";"около 4 тысяч";"72";"миролюбивый";"843";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11700";"24011";"0";"7258";"4796";"8041";"7597";"4670"
"1464247430.58062";"около 4 тысяч";"72";"миролюбивый";"843";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11703";"24011";"0";"7173";"4753";"7921";"7532";"5125"
"1464290635.24582";"около 6 тысяч";"72";"миролюбивый";"845";"384";"26";"5 лет 4 месяца";"около 185 тысяч";"154";"25 / 29";"11674";"24011";"0";"7284";"4778";"7992";"7587";"5716"
