"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854806.93066";"около 5 тысяч";"82";"миролюбивый";"995";"424";"";"6 лет 9 месяцев";"около 205 тысяч";"119";"136 / 281";"5457";"1120";"9912";"3848";"0";"3091";"5795";"7668"
"1463858672.55242";"около 5 тысяч";"82";"миролюбивый";"995";"424";"";"6 лет 9 месяцев";"около 205 тысяч";"119";"136 / 281";"5457";"1120";"9912";"3852";"0";"3093";"5796";"7738"
"1463901857.75208";"около 5 тысяч";"82";"миролюбивый";"995";"424";"";"6 лет 9 месяцев";"около 205 тысяч";"119";"136 / 281";"5460";"1120";"9910";"3831";"0";"3075";"5768";"8195"
"1463945059.6863";"около 5 тысяч";"82";"миролюбивый";"995";"424";"";"6 лет 9 месяцев";"около 205 тысяч";"119";"136 / 281";"5463";"1120";"9918";"3861";"0";"3090";"5799";"8898"
"1463988256.85945";"ни одного";"82";"миролюбивый";"1003";"424";"";"6 лет 9 месяцев";"около 205 тысяч";"120";"136 / 281";"5465";"1120";"9922";"3829";"0";"3064";"5767";"9358"
"1464031460.36451";"около 4 тысяч";"82";"добродушный";"1004";"424";"6 лет 9 месяцев";"около 205 тысяч";"120";"136 / 281";"5441";"1120";"9925";"3865";"0";"3145";"5799";"10004"
"1464074656.55506";"около 4 тысяч";"82";"добродушный";"1004";"424";"6 лет 9 месяцев";"около 205 тысяч";"120";"136 / 281";"5441";"1120";"9926";"3847";"0";"3123";"5767";"10405"
"1464117857.5134";"около 4 тысяч";"82";"добродушный";"1004";"424";"6 лет 9 месяцев";"около 205 тысяч";"120";"136 / 281";"5442";"1120";"9927";"3872";"0";"3146";"5802";"11022"
"1464161057.60918";"около 4 тысяч";"82";"добродушный";"1004";"424";"6 лет 10 месяцев";"около 205 тысяч";"120";"136 / 281";"5446";"1120";"9929";"3846";"0";"3126";"5763";"11381"
"1464204256.77767";"ни одного";"82";"добродушный";"1007";"424";"1";"6 лет 10 месяцев";"около 206 тысяч";"121";"136 / 281";"5437";"1120";"9928";"3845";"24233";"3213";"5789";"11936"
"1464247456.12727";"ни одного";"82";"добродушный";"1007";"424";"1";"6 лет 10 месяцев";"около 206 тысяч";"121";"136 / 281";"5440";"1120";"9933";"3825";"23801";"3181";"5757";"12294"
"1464290660.82085";"около 13 тысяч";"82";"добродушный";"1008";"424";"2";"6 лет 10 месяцев";"около 206 тысяч";"121";"136 / 281";"5442";"1120";"9937";"3869";"23896";"3205";"5797";"11817"
