"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854837.68006";"около 5 тысяч";"76";"миролюбивый";"998";"400";"";"5 лет 7 месяцев";"около 183 тысяч";"202";"22 / 41";"8564";"18990";"0";"5882";"0";"16824";"7462";"6820"
"1463858703.22818";"около 6 тысяч";"76";"миролюбивый";"998";"400";"";"5 лет 7 месяцев";"около 183 тысяч";"202";"22 / 41";"8564";"18990";"0";"5885";"0";"16849";"7466";"6902"
"1463901888.49143";"около 11 тысяч";"76";"миролюбивый";"999";"400";"";"5 лет 7 месяцев";"около 183 тысяч";"202";"22 / 41";"8555";"18990";"0";"5843";"0";"16676";"7410";"5368"
"1463945090.34601";"около 2 тысяч";"76";"миролюбивый";"1000";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"203";"22 / 41";"8555";"18990";"0";"5887";"0";"17043";"7449";"5455"
"1463988288.22049";"около 5 тысяч";"76";"миролюбивый";"1001";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"203";"22 / 41";"8560";"18990";"0";"5840";"0";"16879";"7398";"5909"
"1464031491.15207";"около 7 тысяч";"76";"миролюбивый";"1003";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"203";"22 / 41";"8534";"18990";"0";"5884";"0";"16979";"7448";"5079"
"1464074687.23168";"около 7 тысяч";"76";"миролюбивый";"1003";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"203";"22 / 41";"8534";"18990";"0";"5862";"0";"16843";"7407";"5564"
"1464117888.20406";"около 9 тысяч";"76";"миролюбивый";"1004";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"203";"22 / 41";"8530";"18990";"0";"5916";"0";"17010";"7442";"5043"
"1464161088.29382";"около 5 сотен";"76";"миролюбивый";"1005";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"204";"22 / 41";"8531";"18990";"0";"5839";"0";"16978";"7366";"4910"
"1464204287.46049";"около 3 тысяч";"76";"миролюбивый";"1005";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"204";"22 / 41";"8531";"18990";"0";"5902";"0";"17157";"7427";"5566"
"1464247486.82978";"около 7 тысяч";"76";"миролюбивый";"1007";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"204";"22 / 41";"8531";"18990";"0";"5817";"0";"16931";"7366";"6010"
"1464290691.60068";"около 6 тысяч";"76";"миролюбивый";"1008";"400";"";"5 лет 7 месяцев";"около 184 тысяч";"204";"22 / 41";"8506";"18990";"0";"5887";"0";"17084";"7432";"5389"
