"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854847.91124";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20568";"1092";"2943";"9889";"21245";"2545";"18272";"0"
"1463858713.44543";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20570";"1092";"2943";"9897";"21274";"2548";"18287";"0"
"1463901898.69838";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20573";"1092";"2944";"9813";"20984";"2539";"18088";"0"
"1463945100.55429";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20582";"1092";"2945";"9922";"21262";"2550";"18310";"0"
"1463988298.43896";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20590";"1092";"2945";"9794";"21030";"2526";"18107";"0"
"1464031501.38627";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20606";"1092";"2945";"9889";"21279";"2538";"18330";"0"
"1464074697.43989";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20612";"1092";"2945";"9813";"21020";"2521";"18138";"0"
"1464117898.41557";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20623";"1092";"2949";"9918";"21279";"2541";"18387";"0"
"1464161098.49952";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20628";"1092";"2949";"0";"0"
"1464204297.67151";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20632";"1092";"2949";"0";"0"
"1464247497.08693";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20635";"1092";"2949";"0";"0"
"1464290701.80441";"около 7 сотен";"64";"нейтральный";"9";"352";"4";"7 лет 2 месяца";"около 124 тысяч";"68";"225 / 229";"20648";"1092";"2951";"0";"0"
