"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854888.87787";"около 5 тысяч";"76";"добродушный";"812";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"135";"61 / 42";"8552";"9630";"15938";"5163";"4678";"4027";"7131";"11683"
"1463858754.34216";"около 5 тысяч";"76";"добродушный";"812";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"135";"61 / 42";"8552";"9630";"15938";"5168";"4678";"4029";"7136";"11771"
"1463901939.59411";"около 5 тысяч";"76";"добродушный";"813";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"135";"61 / 42";"8550";"9630";"15937";"5117";"4655";"3994";"7080";"10889"
"1463945141.47816";"около 15 тысяч";"76";"добродушный";"813";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"135";"61 / 42";"8548";"9630";"15949";"5125";"4678";"4023";"7113";"10722"
"1463988339.32364";"около 15 тысяч";"76";"добродушный";"813";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"135";"61 / 42";"8554";"9630";"15952";"5083";"4667";"3983";"7068";"11140"
"1464031542.32824";"около 6 тысяч";"76";"добродушный";"815";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"135";"61 / 42";"8526";"9630";"15962";"5136";"4687";"4001";"7108";"11707"
"1464074738.34153";"около 18 сотен";"76";"добродушный";"815";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"136";"61 / 42";"8527";"9630";"15967";"5101";"4673";"4064";"7068";"11369"
"1464117939.34803";"около 6 тысяч";"76";"добродушный";"816";"400";"26";"5 лет 1 месяц";"около 213 тысяч";"136";"61 / 42";"8525";"9630";"15968";"5141";"4702";"4094";"7109";"11928"
"1464161139.4004";"около 18 сотен";"76";"добродушный";"816";"400";"26";"5 лет 1 месяц";"около 214 тысяч";"136";"61 / 42";"8498";"9630";"15970";"5158";"4667";"4052";"7046";"10848"
"1464204338.56138";"около 3 тысяч";"76";"добродушный";"817";"400";"26";"5 лет 1 месяц";"около 214 тысяч";"136";"61 / 42";"8497";"9630";"15971";"5192";"4697";"4074";"7101";"10634"
"1464247537.99781";"около 4 тысяч";"76";"добродушный";"817";"400";"26";"5 лет 1 месяц";"около 214 тысяч";"136";"61 / 42";"8496";"9630";"15974";"5153";"4658";"4009";"7052";"10993"
"1464290742.72159";"около 5 тысяч";"76";"миролюбивый";"818";"400";"26";"5 лет 1 месяц";"около 214 тысяч";"136";"61 / 42";"8498";"9630";"15981";"5229";"4685";"4056";"7107";"9981"
