"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854904.2031";"около 3 тысяч";"70";"нейтральный";"914";"376";"17";"3 года 4 месяца";"около 160 тысяч";"178";"72 / 72";"13634";"19463";"16439";"8533";"8652";"17307";"8462";"0"
"1463858769.664";"около 3 тысяч";"70";"нейтральный";"914";"376";"17";"3 года 4 месяца";"около 160 тысяч";"178";"72 / 72";"13635";"19463";"16439";"8539";"8660";"17326";"8468";"0"
"1463901954.94562";"около тысячи";"70";"беззлобный";"915";"376";"17";"3 года 4 месяца";"около 160 тысяч";"179";"72 / 72";"13626";"19463";"16443";"8462";"8609";"17318";"8400";"17193"
"1463945156.84484";"около 4 тысяч";"70";"беззлобный";"915";"376";"17";"3 года 4 месяца";"около 160 тысяч";"179";"72 / 72";"13628";"19463";"16450";"8539";"8659";"17517";"8461";"17702"
"1463988354.64184";"около 4 тысяч";"70";"беззлобный";"915";"376";"17";"3 года 5 месяцев";"около 160 тысяч";"179";"72 / 72";"13632";"19463";"16451";"8442";"8628";"17352";"8390";"17992"
"1464031557.67562";"около 4 тысяч";"70";"беззлобный";"915";"376";"17";"3 года 5 месяцев";"около 160 тысяч";"179";"72 / 72";"13641";"19463";"16457";"8519";"8670";"17526";"8451";"18552"
"1464074753.73978";"около 4 тысяч";"70";"нейтральный";"915";"376";"17";"3 года 5 месяцев";"около 160 тысяч";"179";"72 / 72";"13647";"19463";"16458";"8461";"8611";"17382";"8400";"0"
"1464117954.69695";"около 4 тысяч";"70";"нейтральный";"915";"376";"17";"3 года 5 месяцев";"около 160 тысяч";"179";"72 / 72";"13651";"19463";"16464";"8540";"8657";"17610";"8455";"0"
"1464161154.72191";"около 4 тысяч";"70";"нейтральный";"918";"376";"17";"3 года 5 месяцев";"около 160 тысяч";"179";"72 / 72";"13615";"19463";"16464";"8338";"8570";"17270";"8349";"0"
"1464204353.88436";"около 3 тысяч";"70";"нейтральный";"919";"376";"17";"3 года 5 месяцев";"около 160 тысяч";"179";"72 / 72";"13615";"19463";"16470";"8436";"8643";"17415";"8410";"0"
"1464247553.35817";"около 8 тысяч";"70";"беззлобный";"919";"376";"17";"3 года 5 месяцев";"около 161 тысяч";"179";"72 / 72";"13602";"19463";"16473";"8329";"8554";"17189";"8322";"17996"
"1464290758.0624";"около 8 тысяч";"70";"беззлобный";"919";"376";"17";"3 года 5 месяцев";"около 161 тысяч";"179";"72 / 72";"13608";"19463";"16484";"8429";"8616";"17392";"8397";"18545"
