"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854929.80899";"около 5 десятков";"88";"нейтральный";"913";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3430";"4430";"22077";"1775";"0";"4783";"3804";"0"
"1463858795.23033";"около 5 десятков";"88";"нейтральный";"913";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3430";"4430";"22077";"1775";"0";"4783";"3805";"0"
"1463901980.52042";"около 5 десятков";"88";"нейтральный";"913";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3430";"4430";"22081";"1772";"0";"4755";"3795";"0"
"1463945182.44169";"около 10 тысяч";"88";"нейтральный";"915";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3427";"4430";"22092";"1805";"0";"4770";"3808";"0"
"1463988380.23148";"около 11 тысяч";"88";"нейтральный";"915";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3428";"4430";"22095";"1799";"0";"4715";"3792";"0"
"1464031583.32471";"около 4 тысяч";"88";"недовольный";"917";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3427";"4430";"22101";"1772";"0";"4737";"3801";"6107"
"1464074779.31919";"около 4 тысяч";"88";"нейтральный";"917";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3429";"4430";"22106";"1760";"0";"4716";"3785";"0"
"1464117980.24188";"около 4 тысяч";"88";"нейтральный";"917";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3432";"4430";"22104";"1768";"0";"4752";"3806";"0"
"1464161180.28774";"около 4 тысяч";"88";"нейтральный";"917";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3433";"4430";"22109";"1766";"0";"4711";"3795";"0"
"1464204379.45078";"около 4 тысяч";"88";"нейтральный";"917";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3439";"4430";"22116";"1783";"0";"4760";"3819";"0"
"1464247578.90669";"около 4 тысяч";"88";"нейтральный";"917";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3441";"4430";"22116";"1776";"0";"4693";"3798";"0"
"1464290783.74268";"около 4 тысяч";"88";"нейтральный";"917";"448";"";"5 лет 9 месяцев";"около 328 тысяч";"221";"70 / 113";"3446";"4430";"22124";"1785";"0";"4752";"3825";"0"
