"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463854950.28388";"около 5 тысяч";"57";"добродушный";"11";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14447";"0";"31156";"18392";"12204"
"1463858815.64844";"около 5 тысяч";"57";"добродушный";"11";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14456";"0";"31183";"18407";"12284"
"1463902000.9818";"около 2 тысяч";"57";"добродушный";"11";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14275";"0";"30735";"18181";"9567"
"1463945202.86961";"около 5 тысяч";"57";"миролюбивый";"18";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14446";"0";"31097";"18407";"7438"
"1463988400.6852";"около 2 тысяч";"57";"миролюбивый";"18";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14232";"0";"30606";"18204";"7617"
"1464031603.83827";"около 9 тысяч";"57";"миролюбивый";"20";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14397";"0";"30927";"18423";"6559"
"1464074799.74483";"около 3 тысяч";"57";"миролюбивый";"20";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14190";"0";"30555";"18192";"4917"
"1464118000.72735";"около 7 тысяч";"57";"добродетельный";"22";"324";"";"2 года 7 месяцев";"около 90 тысяч";"137";"6 / 16";"37003";"0";"14406";"0";"30940";"18432";"3115"
"1464161200.71684";"около 7 сотен";"57";"добродетельный";"22";"324";"";"2 года 7 месяцев";"около 90 тысяч";"138";"6 / 16";"37003";"0";"14191";"0";"30769";"18196";"3625"
"1464204399.91163";"около 3 тысяч";"57";"добродетельный";"23";"324";"";"2 года 7 месяцев";"около 90 тысяч";"138";"6 / 16";"37003";"0";"14304";"0";"31169";"18442";"3365"
"1464247599.34173";"около 4 тысяч";"57";"добродетельный";"23";"324";"";"2 года 7 месяцев";"около 90 тысяч";"138";"6 / 16";"37003";"0";"14067";"0";"30617";"18160";"3477"
"1464290804.15782";"около 6 тысяч";"57";"добродетельный";"24";"324";"";"2 года 7 месяцев";"около 91 тысяч";"138";"6 / 16";"37003";"0";"14272";"0";"30988";"18352";"3088"
