"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855021.93649";"около 3 тысяч";"53";"чистое зло";"6";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"9 / 7";"37153";"0";"16597";"0";"19094";"18438";"853"
"1463858887.15971";"около 4 тысяч";"53";"чистое зло";"6";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"9 / 7";"37153";"0";"16610";"0";"19116";"18452";"896"
"1463902072.58747";"около 12 тысяч";"53";"чистое зло";"6";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"9 / 7";"37153";"0";"16341";"0";"18851";"18248";"802"
"1463945274.4406";"около 21 тысяч";"53";"чистое зло";"12";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"9 / 7";"37153";"0";"16474";"0";"19023";"18454";"896"
"1463988472.28485";"около 11 тысяч";"53";"чистое зло";"12";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"10 / 7";"37153";"0";"16300";"0";"18774";"18183";"461"
"1464031675.48573";"около 14 тысяч";"53";"чистое зло";"14";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"10 / 8";"37153";"0";"16409";"0";"18878";"18388";"623"
"1464074871.27689";"около 4 тысяч";"53";"чистое зло";"13";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"10 / 8";"37153";"0";"16225";"0";"18675";"18150";"543"
"1464118072.34025";"около 7 тысяч";"53";"чистое зло";"15";"308";"";"4 года 4 месяца";"около 74 тысяч";"86";"10 / 8";"37153";"0";"16455";"0";"18852";"18349";"758"
"1464161272.28813";"около 4 тысяч";"53";"чистое зло";"16";"308";"";"4 года 4 месяца";"около 75 тысяч";"86";"10 / 8";"37153";"0";"16183";"0";"18544";"18029";"690"
"1464204471.51084";"около 3 тысяч";"53";"чистое зло";"17";"308";"";"4 года 4 месяца";"около 75 тысяч";"86";"10 / 8";"37153";"0";"16463";"0";"18715";"18259";"327"
"1464247670.88053";"около 15 тысяч";"54";"чистое зло";"19";"312";"";"4 года 4 месяца";"около 75 тысяч";"86";"10 / 8";"37153";"0";"16141";"0";"18420";"17937";"378"
"1464290875.7959";"около 4 тысяч";"54";"чистое зло";"20";"312";"";"4 года 4 месяца";"около 75 тысяч";"86";"10 / 8";"37153";"0";"16302";"0";"18546";"18114";"695"
