"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855027.06106";"около 3 тысяч";"52";"беззлобный";"4";"304";"15";"4 года";"около 69 тысяч";"49";"11 / 25";"37253";"0";"18248";"10077";"5408";"18546";"14615"
"1463858892.27087";"около 2 тысяч";"52";"беззлобный";"4";"304";"15";"4 года";"около 69 тысяч";"49";"11 / 25";"37253";"0";"18264";"10083";"5412";"18554";"14678"
"1463902077.69671";"около 3 тысяч";"52";"беззлобный";"4";"304";"15";"4 года";"около 69 тысяч";"49";"11 / 25";"37254";"0";"18041";"10013";"5362";"18343";"14959"
"1463945279.5513";"около 3 тысяч";"52";"беззлобный";"4";"304";"15";"4 года";"около 69 тысяч";"49";"11 / 25";"37254";"0";"18270";"10078";"5407";"18563";"15467"
"1463988477.39265";"около 8 тысяч";"52";"добродушный";"6";"304";"15";"4 года 1 месяц";"около 69 тысяч";"49";"11 / 25";"37254";"0";"17934";"10035";"5307";"18331";"13100"
"1464031680.59649";"около 8 тысяч";"52";"добродушный";"6";"304";"15";"4 года 1 месяц";"около 69 тысяч";"49";"11 / 25";"37254";"0";"18164";"10091";"5343";"18548";"13658"
"1464074876.37656";"около 8 тысяч";"52";"добродушный";"6";"304";"15";"4 года 1 месяц";"около 69 тысяч";"49";"11 / 25";"37254";"0";"17958";"10026";"5301";"18353";"13975"
"1464118077.46269";"около 5 тысяч";"52";"добродушный";"8";"304";"15";"4 года 1 месяц";"около 69 тысяч";"49";"11 / 25";"37254";"0";"18150";"10089";"5299";"18505";"10476"
"1464161277.40039";"около 3 тысяч";"52";"добродушный";"9";"304";"15";"4 года 1 месяц";"около 70 тысяч";"49";"11 / 25";"37254";"0";"17884";"9973";"5224";"18236";"10845"
"1464204476.65126";"около 9 тысяч";"52";"миролюбивый";"9";"304";"15";"4 года 1 месяц";"около 70 тысяч";"50";"11 / 25";"37254";"0";"18120";"10049";"5545";"18478";"10630"
"1464247675.98057";"около 3 тысяч";"52";"миролюбивый";"10";"304";"15";"4 года 1 месяц";"около 70 тысяч";"50";"12 / 25";"37254";"0";"19299";"9960";"5451";"18212";"8285"
"1464290880.90959";"около 3 тысяч";"52";"миролюбивый";"11";"304";"15";"4 года 1 месяц";"около 70 тысяч";"50";"12 / 25";"37254";"0";"17973";"10028";"5476";"18435";"7116"
