"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855037.28366";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11883";"17033";"0";"7984";"0";"12507";"9452";"0"
"1463858902.49185";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11884";"17033";"0";"7990";"0";"12519";"9460";"0"
"1463902087.92478";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11890";"17033";"0";"7920";"0";"12418";"9396";"0"
"1463945289.77142";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11894";"17033";"0";"7993";"0";"12515";"9473";"0"
"1463988487.61947";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11900";"17033";"0";"7911";"0";"12355";"9392";"0"
"1464031690.84447";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11908";"17033";"0";"7978";"0";"12461";"9472";"0"
"1464074886.59104";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11910";"17033";"0";"7921";"0";"12379";"9415";"0"
"1464118087.68415";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11913";"17033";"0";"7987";"0";"12528";"9486";"0"
"1464161287.61458";"ни одного";"72";"нейтральный";"817";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11919";"17033";"0";"7891";"0";"12367";"9385";"0"
"1464204486.93647";"около 4 тысяч";"72";"нейтральный";"822";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11870";"17033";"0";"8044";"0";"12395";"9433";"0"
"1464247686.25544";"около 4 тысяч";"72";"нейтральный";"822";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11875";"17033";"0";"7943";"0";"12239";"9321";"0"
"1464290891.13896";"около 4 тысяч";"72";"нейтральный";"822";"384";"";"4 года 3 месяца";"около 185 тысяч";"182";"33 / 40";"11881";"17033";"0";"8039";"0";"12410";"9416";"0"
