"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855062.86304";"около 2 тысяч";"69";"добродетельный";"833";"372";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13807";"24947";"0";"9069";"740";"8033";"8298";"2907"
"1463858928.02913";"около 2 тысяч";"69";"добродетельный";"833";"372";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13807";"24947";"0";"9075";"740";"8038";"8304";"3019"
"1463902113.5273";"около 8 тысяч";"69";"добродетельный";"834";"372";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13772";"24947";"0";"8947";"736";"7958";"8236";"3168"
"1463945315.34543";"около 5 тысяч";"69";"миролюбивый";"841";"372";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13758";"24947";"0";"9033";"739";"8035";"8271";"3941"
"1463988513.16105";"около 8 тысяч";"69";"миролюбивый";"843";"372";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13747";"24947";"0";"8920";"737";"7920";"8190";"3833"
"1464031716.4102";"около 18 сотен";"70";"добродетельный";"843";"376";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13729";"24947";"0";"9029";"740";"7994";"8247";"4475"
"1464074912.15248";"около 6 тысяч";"70";"миролюбивый";"843";"376";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13728";"24947";"0";"8952";"736";"7917";"8194";"4077"
"1464118113.28265";"около 14 тысяч";"70";"добродетельный";"845";"376";"46";"2 года 7 месяцев";"около 156 тысяч";"130";"0 / 2";"13718";"24947";"0";"9037";"738";"7991";"8246";"3165"
"1464161313.19368";"ни одного";"70";"миролюбивый";"845";"376";"46";"2 года 7 месяцев";"около 156 тысяч";"131";"0 / 2";"13717";"24947";"0";"8934";"729";"7893";"8145";"3670"
"1464204512.55265";"около тысячи";"70";"миролюбивый";"846";"376";"46";"2 года 7 месяцев";"около 157 тысяч";"131";"0 / 2";"13721";"24947";"0";"9041";"731";"8105";"8205";"4062"
"1464247711.80332";"около тысячи";"70";"добродетельный";"848";"376";"46";"2 года 7 месяцев";"около 157 тысяч";"131";"0 / 2";"13716";"24947";"0";"8911";"711";"7986";"8108";"3846"
"1464290916.69595";"около 18 сотен";"70";"добродетельный";"848";"376";"46";"2 года 7 месяцев";"около 157 тысяч";"131";"0 / 2";"13719";"24947";"0";"9022";"713";"8078";"8183";"4413"
