"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855083.33528";"около 3 тысяч";"76";"беззлобный";"996";"400";"";"4 года 8 месяцев";"около 186 тысяч";"146";"39 / 69";"8660";"14638";"0";"6016";"0";"6908";"8199";"14885"
"1463858948.51726";"около 6 тысяч";"76";"добродушный";"996";"400";"";"4 года 8 месяцев";"около 186 тысяч";"147";"39 / 69";"8659";"14638";"0";"6017";"0";"7041";"8205";"14242"
"1463902134.02057";"около 17 тысяч";"76";"добродушный";"997";"400";"";"4 года 8 месяцев";"около 186 тысяч";"147";"39 / 69";"8657";"14638";"0";"5966";"0";"6972";"8132";"13638"
"1463945335.81911";"около 6 тысяч";"76";"добродушный";"998";"400";"";"4 года 8 месяцев";"около 186 тысяч";"147";"39 / 69";"8656";"14638";"0";"6013";"0";"7035";"8180";"14166"
"1463988533.63625";"около 4 тысяч";"76";"добродушный";"999";"400";"";"4 года 8 месяцев";"около 186 тысяч";"147";"39 / 69";"8635";"14638";"0";"5969";"0";"6931";"8102";"12887"
"1464031736.93543";"около 5 тысяч";"76";"добродушный";"998";"400";"";"4 года 8 месяцев";"около 186 тысяч";"147";"39 / 69";"8631";"14638";"0";"5992";"0";"6980";"8160";"12454"
"1464074932.61654";"около 4 тысяч";"76";"добродушный";"999";"400";"";"4 года 8 месяцев";"около 186 тысяч";"147";"39 / 69";"8630";"14638";"0";"5953";"0";"6915";"8110";"12821"
"1464118133.78732";"около 15 сотен";"76";"добродушный";"1000";"400";"";"4 года 8 месяцев";"около 186 тысяч";"148";"39 / 69";"8624";"14638";"0";"5972";"0";"7121";"8120";"10212"
"1464161333.67063";"около 3 тысяч";"76";"добродушный";"1000";"400";"";"4 года 8 месяцев";"около 186 тысяч";"148";"39 / 69";"8625";"14638";"0";"5898";"0";"7023";"8030";"10602"
"1464204533.05327";"около 3 тысяч";"76";"добродушный";"1000";"400";"";"4 года 8 месяцев";"около 186 тысяч";"148";"39 / 69";"8634";"14638";"0";"5953";"0";"7103";"8095";"11133"
"1464247732.27675";"около 4 тысяч";"76";"добродушный";"1002";"400";"";"4 года 8 месяцев";"около 187 тысяч";"149";"39 / 69";"8625";"14638";"0";"5877";"0";"7128";"8018";"10759"
"1464290937.23057";"около 4 тысяч";"76";"миролюбивый";"1002";"400";"";"4 года 8 месяцев";"около 187 тысяч";"149";"39 / 69";"8627";"14638";"0";"5918";"0";"7205";"8075";"11272"
