"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855103.8386";"около 3 тысяч";"47";"добродетельный";"4";"284";"1";"9 месяцев";"около 53 тысяч";"49";"8 / 18";"37246";"0";"19669";"24415";"10259";"18451";"3188"
"1463858969.01667";"около 3 тысяч";"47";"добродетельный";"4";"284";"1";"9 месяцев";"около 53 тысяч";"49";"8 / 18";"37246";"0";"19692";"24442";"10269";"18464";"3294"
"1463902154.45481";"около 6 тысяч";"47";"миролюбивый";"5";"284";"2";"9 месяцев";"около 53 тысяч";"49";"8 / 18";"37247";"0";"19397";"23752";"10142";"18231";"3760"
"1463945356.24258";"около 4 тысяч";"47";"миролюбивый";"5";"284";"2";"9 месяцев";"около 53 тысяч";"49";"8 / 18";"37247";"0";"19568";"24047";"10213";"18441";"4490"
"1463988554.08107";"около 4 тысяч";"47";"миролюбивый";"6";"284";"2";"9 месяцев";"около 53 тысяч";"49";"8 / 18";"37247";"0";"19318";"23651";"10012";"18197";"5011"
"1464031757.39372";"около 4 тысяч";"47";"миролюбивый";"6";"284";"2";"9 месяцев";"около 54 тысяч";"49";"8 / 18";"37247";"0";"19578";"23859";"10038";"18395";"5650"
"1464074953.07517";"около 2 тысяч";"47";"миролюбивый";"11";"284";"3";"9 месяцев";"около 54 тысяч";"49";"8 / 18";"37247";"0";"19327";"22954";"9925";"18129";"5517"
"1464118154.32509";"около 4 тысяч";"47";"миролюбивый";"12";"284";"3";"9 месяцев";"около 54 тысяч";"49";"8 / 18";"37247";"0";"19616";"23225";"9983";"18335";"5321"
"1464161354.15027";"около 4 тысяч";"47";"миролюбивый";"12";"284";"3";"9 месяцев";"около 54 тысяч";"49";"8 / 18";"37247";"0";"19335";"22772";"9806";"18089";"5172"
"1464204553.49849";"около 2 тысяч";"47";"миролюбивый";"13";"284";"3";"9 месяцев";"около 54 тысяч";"49";"8 / 18";"37247";"0";"21217";"23048";"9876";"18315";"5246"
"1464247752.7142";"около сотни";"47";"миролюбивый";"13";"284";"3";"9 месяцев";"около 54 тысяч";"50";"8 / 18";"37247";"0";"20884";"22639";"10226";"18049";"5054"
"1464290957.6824";"около 2 тысяч";"48";"миролюбивый";"14";"288";"3";"9 месяцев";"около 54 тысяч";"50";"8 / 18";"37247";"0";"19623";"22830";"10311";"18270";"5347"
