"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855119.18957";"около 6 тысяч";"50";"миролюбивый";"4";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"48";"128 / 113";"37281";"6293";"17489";"8412";"8306";"18500";"6457"
"1463858984.35668";"около 8 тысяч";"50";"миролюбивый";"4";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"48";"128 / 113";"37281";"6292";"17509";"8416";"8312";"18513";"6553"
"1463902169.77928";"около 7 тысяч";"50";"миролюбивый";"4";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"48";"128 / 113";"37282";"6294";"17284";"8363";"8198";"18272";"6713"
"1463945371.58475";"около 10 тысяч";"50";"миролюбивый";"5";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"48";"128 / 113";"37283";"6295";"17500";"8407";"8272";"18353";"6238"
"1463988569.42849";"около 15 тысяч";"50";"миролюбивый";"7";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"128 / 113";"37283";"6296";"17284";"8369";"7706";"18060";"5247"
"1464031772.77909";"около 3 тысяч";"50";"миролюбивый";"7";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"128 / 113";"37283";"6297";"17476";"8407";"7738";"18205";"5298"
"1464074968.40491";"около 15 сотен";"50";"миролюбивый";"14";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"128 / 113";"37283";"6298";"17184";"8354";"7644";"17949";"5164"
"1464118169.71678";"около 20 тысяч";"50";"миролюбивый";"16";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"128 / 114";"37283";"6337";"17433";"8387";"7720";"18191";"4955"
"1464161369.48347";"около 17 тысяч";"50";"миролюбивый";"18";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"128 / 114";"37283";"6338";"17131";"8306";"7591";"17788";"5738"
"1464204568.8471";"около 5 тысяч";"50";"миролюбивый";"18";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"129 / 114";"37283";"6221";"17314";"8371";"7655";"17971";"6376"
"1464247768.06002";"около 2 тысяч";"50";"миролюбивый";"18";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"129 / 114";"37283";"6222";"17052";"8284";"7540";"17678";"6780"
"1464290973.03287";"около 5 тысяч";"50";"миролюбивый";"18";"296";"18";"5 лет 9 месяцев";"около 57 тысяч";"47";"130 / 114";"37283";"6115";"17297";"8338";"7605";"17887";"7357"
