"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855129.45802";"около 6 тысяч";"70";"миролюбивый";"807";"376";"20";"2 года 8 месяцев";"около 154 тысяч";"166";"6 / 34";"13323";"24548";"0";"8955";"7351";"15830";"8193";"7084"
"1463858994.60865";"около 6 тысяч";"70";"миролюбивый";"807";"376";"20";"2 года 8 месяцев";"около 154 тысяч";"166";"6 / 34";"13323";"24548";"0";"8961";"7353";"15845";"8200";"7163"
"1463902179.99756";"около 2 тысяч";"70";"миролюбивый";"808";"376";"20";"2 года 8 месяцев";"около 154 тысяч";"166";"6 / 34";"13325";"24548";"0";"8888";"7310";"15680";"8142";"7613"
"1463945381.84994";"около 9 тысяч";"70";"миролюбивый";"810";"376";"20";"2 года 8 месяцев";"около 154 тысяч";"166";"6 / 34";"13305";"24548";"0";"8986";"7351";"15808";"8176";"7730"
"1463988579.64901";"около 9 тысяч";"70";"миролюбивый";"810";"376";"20";"2 года 8 месяцев";"около 154 тысяч";"166";"6 / 34";"13308";"24548";"0";"8871";"7316";"15622";"8101";"8212"
"1464031783.0138";"около 7 тысяч";"70";"миролюбивый";"813";"376";"20";"2 года 8 месяцев";"около 154 тысяч";"166";"6 / 34";"13298";"24548";"0";"8947";"7356";"15710";"8146";"8588"
"1464074978.63213";"около 6 тысяч";"70";"миролюбивый";"813";"376";"20";"2 года 8 месяцев";"около 155 тысяч";"166";"6 / 34";"13242";"24548";"0";"8856";"7319";"15601";"8097";"9029"
"1464118179.97589";"около 10 тысяч";"70";"добродушный";"814";"376";"20";"2 года 8 месяцев";"около 155 тысяч";"166";"6 / 34";"13236";"24548";"0";"8976";"7351";"15753";"8127";"9920"
"1464161379.70813";"около 12 тысяч";"70";"миролюбивый";"815";"376";"21";"2 года 8 месяцев";"около 155 тысяч";"166";"6 / 34";"13207";"24548";"0";"8876";"6895";"15528";"8052";"7853"
"1464204579.10479";"около 16 сотен";"70";"миролюбивый";"815";"376";"21";"2 года 8 месяцев";"около 155 тысяч";"166";"6 / 34";"13202";"24548";"0";"8964";"6949";"15705";"8103";"7899"
"1464247778.27393";"около 3 тысяч";"70";"миролюбивый";"816";"376";"21";"2 года 8 месяцев";"около 155 тысяч";"166";"6 / 34";"13201";"24548";"0";"8810";"6886";"15449";"8017";"8015"
"1464290983.26387";"около 11 тысяч";"70";"миролюбивый";"817";"376";"21";"2 года 8 месяцев";"около 155 тысяч";"167";"6 / 34";"13197";"24548";"0";"8913";"6926";"15863";"8089";"7441"
