"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855150.01674";"около 4 тысяч";"70";"чистое зло";"798";"376";"";"2 года 2 месяца";"около 167 тысяч";"174";"17 / 16";"13027";"25927";"0";"7794";"0";"14540";"7290";"205"
"1463859015.04854";"около 4 тысяч";"70";"чистое зло";"798";"376";"";"2 года 2 месяца";"около 167 тысяч";"174";"17 / 16";"13027";"25927";"0";"7801";"0";"14511";"7295";"124"
"1463902200.4478";"около 4 тысяч";"70";"чистое зло";"798";"376";"";"2 года 2 месяца";"около 167 тысяч";"174";"17 / 16";"13027";"25927";"0";"7727";"0";"14369";"7249";"315"
"1463945402.30824";"около 8 тысяч";"70";"чистое зло";"799";"376";"";"2 года 2 месяца";"около 167 тысяч";"174";"17 / 16";"13018";"25927";"0";"7798";"0";"14472";"7284";"252"
"1463988600.11638";"около 3 тысяч";"70";"чистое зло";"800";"376";"";"2 года 2 месяца";"около 167 тысяч";"174";"17 / 16";"13018";"25927";"0";"7701";"0";"14265";"7221";"323"
"1464031803.4925";"около 4 тысяч";"70";"чистое зло";"800";"376";"";"2 года 2 месяца";"около 168 тысяч";"175";"17 / 16";"13014";"25927";"0";"7790";"0";"14601";"7265";"323"
"1464074999.09019";"около 5 тысяч";"70";"чистое зло";"801";"376";"";"2 года 2 месяца";"около 168 тысяч";"175";"17 / 16";"13002";"25927";"0";"7725";"0";"14444";"7221";"134"
"1464118200.45201";"около 10 тысяч";"70";"чистое зло";"802";"376";"";"2 года 2 месяца";"около 168 тысяч";"175";"17 / 16";"12994";"25927";"0";"7794";"0";"14613";"7251";"152"
"1464161400.18219";"около 8 тысяч";"70";"чистое зло";"802";"376";"";"2 года 2 месяца";"около 168 тысяч";"175";"17 / 16";"12992";"25927";"0";"7701";"0";"14397";"7177";"98"
"1464204599.57168";"около 7 тысяч";"70";"чистое зло";"802";"376";"";"2 года 2 месяца";"около 168 тысяч";"175";"17 / 16";"12984";"25927";"0";"7759";"0";"14571";"7227";"213"
"1464247798.7215";"около 7 тысяч";"70";"чистое зло";"802";"376";"";"2 года 2 месяца";"около 168 тысяч";"175";"17 / 16";"12990";"25927";"0";"7663";"0";"14346";"7172";"244"
"1464291003.83216";"около 7 тысяч";"70";"чистое зло";"803";"376";"";"2 года 2 месяца";"около 168 тысяч";"175";"17 / 16";"12964";"25927";"0";"7750";"0";"14448";"7224";"326"
