"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855226.78261";"около 5 тысяч";"70";"беззлобный";"917";"376";"";"3 года 7 месяцев";"около 132 тысяч";"96";"79 / 135";"13423";"14476";"19551";"7824";"0";"5739";"7483";"17743"
"1463859091.79422";"около 5 тысяч";"70";"беззлобный";"917";"376";"";"3 года 7 месяцев";"около 132 тысяч";"96";"79 / 135";"13423";"14476";"19552";"7833";"0";"5742";"7488";"17813"
"1463902277.22361";"около 5 тысяч";"70";"беззлобный";"917";"376";"";"3 года 7 месяцев";"около 132 тысяч";"96";"79 / 135";"13424";"14476";"19557";"7755";"0";"5694";"7443";"18135"
"1463945479.10082";"около 5 тысяч";"70";"беззлобный";"917";"376";"";"3 года 7 месяцев";"около 132 тысяч";"96";"79 / 135";"13429";"14476";"19563";"7822";"0";"5742";"7490";"18639"
"1463988676.93093";"около 5 тысяч";"70";"нейтральный";"917";"376";"";"3 года 7 месяцев";"около 132 тысяч";"96";"79 / 135";"13432";"14476";"19561";"7738";"0";"5680";"7441";"0"
"1464031880.38792";"около 4 тысяч";"70";"нейтральный";"921";"376";"";"3 года 7 месяцев";"около 132 тысяч";"96";"79 / 135";"13402";"14476";"19567";"7808";"0";"5705";"7468";"0"
"1464075075.86102";"около 4 тысяч";"70";"нейтральный";"921";"376";"";"3 года 8 месяцев";"около 132 тысяч";"96";"79 / 135";"13411";"14476";"19574";"7758";"0";"5658";"7427";"0"
"1464118277.31344";"около 4 тысяч";"70";"нейтральный";"921";"376";"";"3 года 8 месяцев";"около 132 тысяч";"96";"79 / 135";"13417";"14476";"19581";"7826";"0";"5722";"7470";"0"
"1464161477.02854";"около 4 тысяч";"70";"беззлобный";"923";"376";"";"3 года 8 месяцев";"около 133 тысяч";"96";"79 / 135";"13399";"14476";"19583";"7700";"0";"5641";"7395";"18128"
"1464204676.29153";"около 3 сотен";"70";"беззлобный";"925";"376";"";"3 года 8 месяцев";"около 133 тысяч";"96";"79 / 135";"13391";"14476";"19591";"7817";"0";"5684";"7422";"17557"
"1464247875.41723";"около 3 сотен";"70";"беззлобный";"925";"376";"";"3 года 8 месяцев";"около 133 тысяч";"96";"79 / 135";"13398";"14476";"19595";"7722";"0";"5601";"7362";"17817"
"1464291080.68586";"около 3 тысяч";"70";"беззлобный";"924";"376";"";"3 года 8 месяцев";"около 133 тысяч";"97";"79 / 135";"13400";"14476";"19599";"7813";"0";"5789";"7421";"16904"
